,name,date,county,size,%_contained,high_temp,low_temp,high_humidity,low_humidity,wind_speed,wind_gust,fuel_temp,fuel_moisture,max_radiation,peak_wind_direction
1,Beale Fire,8/20/2017,Yuba,867,100,87.0,71.0,52.0,38.0,2.8750000000000004,4.971099999999998,25.204900000000002,8.729000000000003,256.78,162.86
2,West Fire,7/8/2017,Yuba,50,100,93.0,76.0,31.0,14.0,3.925000000000001,6.092899999999998,27.211100000000005,5.599,355.42,170.28
3,Spenceville Fire,7/24/2017,Yuba,39,100,88.0,70.0,44.0,19.0,2.901399999999999,4.814199999999998,25.97209999999999,6.415000000000004,345.25,157.6
4,Jasper Fire,9/26/2017,Yuba,26,100,78.0,59.0,33.0,20.0,4.256299999999999,7.456899999999994,20.427900000000005,6.176999999999997,217.61,122.18
5,Twenty Fire,5/29/2017,Yuba,10,100,79.0,62.0,73.0,41.0,2.9010000000000007,5.074000000000001,19.8222,12.136,290.07,174.54
6,Winters Fire,7/6/2017,Yolo,2269,100,103.0,64.0,54.0,14.0,1.387200000000001,3.826100000000001,32.205,4.085000000000001,343.99,181.69
7,Vista Fire,10/24/2017,Ventura,86,100,55.7,39.6,16.3,5.2,1.7574999999999992,4.886699999999997,22.066899999999997,3.9780000000000006,208.41,152.96
8,Grade Fire,7/4/2017,Ventura,50,100,56.7,32.1,37.9,6.5,1.4528000000000012,4.2341999999999995,29.07270000000001,3.4330000000000007,348.93,208.75
9,Jacksonville Fire,7/29/2017,Tuolumne,690,100,71.2,49.0,43.6,15.8,1.5114000000000016,3.4277000000000015,23.8275,6.307000000000001,297.45,183.04
10,Twist Fire,7/30/2017,Tuolumne,124,100,71.4,50.0,40.6,15.4,1.4849000000000019,3.3338000000000028,24.6387,6.143,289.5,180.42
11,Table Fire,9/18/2017,Tuolumne,39,100,59.6,38.2,52.8,15.8,1.686000000000001,4.0719,11.283400000000006,14.372000000000003,205.53,192.92
12,Red Fire,6/11/2017,Tuolumne,38,100,50.6,29.2,77.2,31.2,1.3516000000000021,3.2716,8.95,17.178,243.24,174.77
13,Falls Fire,8/1/2017,Tuolumne,20,100,74.8,53.0,37.8,14.2,1.3779000000000021,3.2085000000000004,24.266799999999993,6.6080000000000005,231.73,177.92
