# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: ATLC1
# STATION NAME: ATLAS PEAK
# LATITUDE: 38.474847
# LONGITUDE: -122.2648
# ELEVATION [ft]: 1934
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
ATLC1,2017-01-01T00:29:00Z,8.89,63.0,3.13,254.0,5.37,13.9,140.0,266.954,5.37,12.78,10.3,246.0,2.16,,WSW,
ATLC1,2017-01-01T01:29:00Z,6.67,76.0,6.7,258.0,8.94,13.7,14.0,266.954,8.94,7.22,10.5,245.0,2.69,,WSW,
ATLC1,2017-01-01T02:29:00Z,6.67,83.0,4.47,271.0,7.15,13.5,0.0,266.954,7.15,6.67,11.2,269.0,3.95,,W,
ATLC1,2017-01-01T03:29:00Z,6.67,85.0,5.37,258.0,6.26,13.4,0.0,266.954,6.26,6.67,12.4,255.0,4.3,,WSW,
ATLC1,2017-01-01T04:29:00Z,7.22,84.0,3.13,250.0,6.7,13.3,0.0,266.954,6.7,6.67,14.3,253.0,4.67,,WSW,
ATLC1,2017-01-01T05:29:00Z,5.0,89.0,7.15,241.0,8.94,13.2,0.0,266.954,8.94,5.56,15.4,238.0,3.32,,WSW,
ATLC1,2017-01-01T06:29:00Z,5.56,87.0,5.37,241.0,8.49,13.1,0.0,266.954,8.49,6.11,16.9,227.0,3.54,,WSW,
ATLC1,2017-01-01T07:29:00Z,5.56,88.0,5.81,255.0,7.15,13.0,0.0,266.954,7.15,5.56,18.1,248.0,3.71,,WSW,
ATLC1,2017-01-01T08:29:00Z,5.0,89.0,5.37,247.0,8.49,12.9,0.0,266.954,8.49,5.0,19.0,254.0,3.32,,WSW,
