# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: BGBC1
# STATION NAME: BIG BAR
# LATITUDE: 40.742164
# LONGITUDE: -123.249178
# ELEVATION [ft]: 1722
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
BGBC1,2017-01-01T00:20:00Z,5.0,92.0,0.9,246.0,2.23,13.1,114.0,535.432,2.23,5.0,17.1,224.0,3.79,,WSW,
BGBC1,2017-01-01T01:20:00Z,3.89,97.0,0.0,,1.79,13.0,7.0,535.432,1.79,2.78,19.9,247.0,3.45,,,
BGBC1,2017-01-01T02:20:00Z,2.78,99.0,0.45,256.0,1.79,12.9,0.0,535.432,1.79,2.78,22.6,330.0,2.64,,WSW,
BGBC1,2017-01-01T03:20:00Z,3.33,99.0,0.0,,1.34,12.9,0.0,535.432,1.34,3.33,23.2,219.0,3.19,,,
BGBC1,2017-01-01T04:20:00Z,2.78,99.0,0.45,241.0,1.34,12.9,0.0,535.432,1.34,2.78,23.6,205.0,2.64,,WSW,
BGBC1,2017-01-01T05:20:00Z,2.78,99.0,0.0,,0.9,12.9,0.0,535.432,0.9,3.33,24.3,291.0,2.64,,,
BGBC1,2017-01-01T06:20:00Z,2.78,99.0,0.45,254.0,2.23,12.8,0.0,535.432,2.23,2.78,24.7,241.0,2.64,,WSW,
BGBC1,2017-01-01T07:20:00Z,2.78,99.0,0.0,,3.58,12.8,0.0,535.432,3.58,2.78,24.9,233.0,2.64,,,
BGBC1,2017-01-01T08:20:00Z,2.22,99.0,0.9,240.0,2.68,12.8,0.0,535.432,2.68,2.22,25.1,234.0,2.08,,WSW,
BGBC1,2017-01-01T09:20:00Z,2.22,99.0,0.45,306.0,2.23,12.7,0.0,535.432,2.23,1.67,25.2,225.0,2.08,,NW,
BGBC1,2017-01-01T10:20:00Z,1.11,98.0,1.34,252.0,3.13,12.7,0.0,535.432,3.13,0.56,25.0,237.0,0.82,,WSW,
BGBC1,2017-01-01T11:20:00Z,0.56,98.0,1.34,259.0,3.58,12.7,0.0,535.432,3.58,0.0,25.6,241.0,0.28,,W,
BGBC1,2017-01-01T12:20:00Z,0.56,94.0,0.45,248.0,3.58,12.7,0.0,535.432,3.58,-0.56,25.5,228.0,-0.31,,WSW,
BGBC1,2017-01-01T13:20:00Z,0.56,95.0,1.34,256.0,2.68,12.7,0.0,535.432,2.68,0.0,25.9,235.0,-0.16,,WSW,
BGBC1,2017-01-01T14:20:00Z,1.67,89.0,0.45,287.0,3.13,12.7,0.0,535.432,3.13,0.56,26.3,237.0,0.03,,WNW,
BGBC1,2017-01-01T15:20:00Z,1.67,88.0,0.45,273.0,2.23,12.6,0.0,535.432,2.23,0.0,26.0,236.0,-0.13,,W,
BGBC1,2017-01-01T16:20:00Z,2.22,79.0,0.45,268.0,2.23,12.6,10.0,535.432,2.23,1.11,25.5,273.0,-1.09,,W,
BGBC1,2017-01-01T17:20:00Z,2.78,77.0,0.45,165.0,2.23,12.8,60.0,535.432,2.23,2.78,24.9,218.0,-0.9,,SSE,
BGBC1,2017-01-01T18:20:00Z,3.89,76.0,0.45,271.0,2.68,13.3,123.0,535.432,2.68,5.0,24.4,329.0,-0.01,,W,
