# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: BNDC1
# STATION NAME: BEN LOMOND
# LATITUDE: 37.130936
# LONGITUDE: -122.172606
# ELEVATION [ft]: 2598
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
BNDC1,2017-01-01T00:50:00Z,3.89,67.0,0.9,2.0,1.79,13.9,35.0,941.07,1.79,1.67,12.8,24.0,-1.75,,N,
BNDC1,2017-01-01T01:50:00Z,2.22,99.0,0.9,314.0,3.58,13.7,2.0,941.07,3.58,0.0,14.6,298.0,2.08,,NW,
BNDC1,2017-01-01T02:50:00Z,2.22,92.0,1.34,338.0,4.02,13.6,0.0,941.07,4.02,0.56,17.1,356.0,1.04,,NNW,
BNDC1,2017-01-01T03:50:00Z,2.78,87.0,1.79,314.0,4.92,13.5,0.0,941.07,4.92,0.56,18.8,13.0,0.8,,NW,
BNDC1,2017-01-01T04:50:00Z,3.33,86.0,1.79,332.0,5.37,13.4,0.0,941.07,5.37,1.11,20.1,348.0,1.18,,NNW,
BNDC1,2017-01-01T05:50:00Z,6.11,72.0,1.79,341.0,6.26,13.3,0.0,941.07,6.26,3.33,21.5,19.0,1.38,,NNW,
BNDC1,2017-01-01T06:50:00Z,3.33,90.0,1.79,296.0,4.47,13.3,0.0,941.07,4.47,2.22,22.5,30.0,1.83,,WNW,
BNDC1,2017-01-01T07:50:00Z,3.33,100.0,1.34,268.0,4.47,13.3,0.0,941.07,4.47,2.78,22.0,208.0,3.33,,W,
BNDC1,2017-01-01T08:50:00Z,3.89,100.0,2.23,299.0,5.37,13.2,0.0,941.07,5.37,3.89,23.5,331.0,3.89,,WNW,
BNDC1,2017-01-01T09:50:00Z,3.89,100.0,1.79,282.0,7.15,13.2,0.0,941.07,7.15,3.89,24.6,308.0,3.89,,WNW,
BNDC1,2017-01-01T10:50:00Z,3.89,100.0,2.23,293.0,5.81,13.2,0.0,941.07,5.81,3.89,25.2,316.0,3.89,,WNW,
BNDC1,2017-01-01T11:50:00Z,3.33,100.0,2.23,312.0,6.26,13.2,0.0,941.07,6.26,3.33,25.3,292.0,3.33,,NW,
BNDC1,2017-01-01T12:50:00Z,2.78,100.0,1.34,322.0,5.37,13.2,0.0,941.07,5.37,2.22,25.9,340.0,2.78,,NW,
BNDC1,2017-01-01T13:50:00Z,2.78,100.0,1.79,272.0,4.92,13.1,0.0,941.07,4.92,2.78,26.5,338.0,2.78,,W,
BNDC1,2017-01-01T14:50:00Z,2.78,100.0,2.23,291.0,4.92,13.1,0.0,941.07,4.92,2.78,26.5,321.0,2.78,,WNW,
BNDC1,2017-01-01T15:50:00Z,2.78,100.0,1.79,228.0,5.81,13.1,2.0,941.07,5.81,2.78,26.5,271.0,2.78,,SW,
BNDC1,2017-01-01T16:50:00Z,2.78,100.0,1.79,338.0,5.37,13.2,26.0,941.07,5.37,3.33,27.1,267.0,2.78,,NNW,
BNDC1,2017-01-01T17:50:00Z,2.78,100.0,2.23,321.0,4.92,13.6,99.0,941.07,4.92,4.44,27.0,310.0,2.78,,NW,
BNDC1,2017-01-01T18:50:00Z,3.33,100.0,1.79,290.0,6.26,14.6,180.0,941.07,6.26,5.0,26.9,262.0,3.33,,WNW,
BNDC1,2017-01-01T19:50:00Z,3.89,92.0,2.23,321.0,7.15,14.4,178.0,941.07,7.15,5.56,26.3,312.0,2.69,,NW,
BNDC1,2017-01-01T20:50:00Z,3.89,91.0,2.68,327.0,6.26,14.3,199.0,941.07,6.26,6.11,24.5,23.0,2.54,,NNW,
BNDC1,2017-01-01T21:50:00Z,5.56,79.0,2.68,322.0,6.7,14.2,303.0,941.07,6.7,9.44,23.2,296.0,2.16,,NW,
BNDC1,2017-01-01T22:50:00Z,5.56,75.0,2.23,332.0,6.26,14.2,292.0,941.07,6.26,10.56,16.6,284.0,1.43,,NNW,
BNDC1,2017-01-01T23:50:00Z,3.89,72.0,2.68,331.0,7.15,14.2,163.0,941.07,7.15,6.11,13.2,289.0,-0.76,,NNW,
BNDC1,2017-01-02T00:50:00Z,2.78,82.0,2.23,323.0,8.49,14.1,62.0,941.07,8.49,2.78,14.8,310.0,-0.03,,NW,
