# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: CAHC1
# STATION NAME: HASTINGS
# LATITUDE: 36.388500
# LONGITUDE: -121.551594
# ELEVATION [ft]: 1885
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
CAHC1,2017-01-01T00:11:00Z,7.22,61.0,2.68,15.0,4.47,13.9,120.0,98.044,4.47,7.78,13.2,21.0,0.12,,NNE,
CAHC1,2017-01-01T01:11:00Z,5.0,70.0,0.9,101.0,4.02,13.5,21.0,98.044,4.02,3.33,12.7,0.0,-0.08,,E,
CAHC1,2017-01-01T02:11:00Z,2.78,79.0,0.9,222.0,3.13,13.2,0.0,98.044,3.13,1.11,13.4,81.0,-0.54,,SW,
CAHC1,2017-01-01T03:11:00Z,2.22,79.0,0.9,271.0,2.68,13.0,0.0,98.044,2.68,0.56,14.4,57.0,-1.09,,W,
CAHC1,2017-01-01T04:11:00Z,1.11,83.0,0.9,315.0,2.23,12.8,0.0,98.044,2.23,0.0,15.9,71.0,-1.49,,NW,
CAHC1,2017-01-01T05:11:00Z,3.33,85.0,0.9,341.0,2.23,12.7,0.0,98.044,2.23,2.78,17.8,325.0,1.02,,NNW,
CAHC1,2017-01-01T06:11:00Z,3.89,86.0,0.9,343.0,2.68,12.6,0.0,98.044,2.68,3.89,18.4,346.0,1.73,,NNW,
CAHC1,2017-01-01T07:11:00Z,4.44,87.0,1.34,7.0,2.23,12.6,0.0,98.044,2.23,3.33,18.4,5.0,2.44,,N,
CAHC1,2017-01-01T08:11:00Z,3.33,84.0,3.13,66.0,4.92,12.6,0.0,98.044,4.92,2.22,20.2,68.0,0.85,,ENE,
CAHC1,2017-01-01T09:11:00Z,2.22,92.0,2.23,323.0,4.02,12.6,0.0,98.044,4.02,0.56,20.0,320.0,1.04,,NW,
CAHC1,2017-01-01T10:11:00Z,4.44,87.0,2.23,14.0,2.68,12.6,0.0,98.044,2.68,3.89,21.6,1.0,2.44,,NNE,
CAHC1,2017-01-01T11:11:00Z,5.0,86.0,2.23,332.0,4.02,12.6,0.0,98.044,4.02,5.0,21.2,328.0,2.82,,NNW,
CAHC1,2017-01-01T12:11:00Z,5.56,89.0,2.68,336.0,4.47,12.6,0.0,98.044,4.47,5.56,21.4,313.0,3.87,,NNW,
CAHC1,2017-01-01T13:11:00Z,5.0,93.0,1.79,313.0,4.47,12.5,0.0,98.044,4.47,5.0,21.9,330.0,3.95,,NW,
CAHC1,2017-01-01T14:11:00Z,5.0,95.0,1.34,331.0,3.58,12.5,0.0,98.044,3.58,5.0,22.6,311.0,4.26,,NNW,
CAHC1,2017-01-01T15:11:00Z,5.0,94.0,3.13,315.0,5.37,12.5,0.0,98.044,5.37,5.0,22.9,325.0,4.1,,NW,
CAHC1,2017-01-01T16:11:00Z,5.0,93.0,2.68,324.0,5.81,12.5,12.0,98.044,5.81,5.56,23.2,314.0,3.95,,NW,
CAHC1,2017-01-01T17:11:00Z,5.56,88.0,3.13,308.0,4.92,13.4,75.0,98.044,4.92,6.11,22.7,353.0,3.71,,NW,
CAHC1,2017-01-01T18:11:00Z,6.11,81.0,3.58,312.0,7.15,13.8,101.0,98.044,7.15,6.67,21.5,319.0,3.06,,NW,
CAHC1,2017-01-01T19:11:00Z,5.56,84.0,4.47,306.0,6.7,13.9,108.0,98.044,6.7,6.67,19.6,315.0,3.04,,NW,
CAHC1,2017-01-01T20:11:00Z,6.11,82.0,4.92,320.0,8.49,14.1,152.0,98.044,8.49,7.22,19.9,318.0,3.23,,NW,
CAHC1,2017-01-01T21:11:00Z,6.11,77.0,5.37,310.0,8.94,14.1,180.0,98.044,8.94,7.22,18.1,307.0,2.33,,NW,
CAHC1,2017-01-01T22:11:00Z,5.56,81.0,4.47,314.0,6.7,14.0,153.0,98.044,6.7,6.67,16.4,320.0,2.52,,NW,
CAHC1,2017-01-01T23:11:00Z,5.56,81.0,4.92,298.0,8.05,13.8,114.0,98.044,8.05,6.11,16.7,312.0,2.52,,WNW,
CAHC1,2017-01-02T00:11:00Z,5.0,77.0,4.92,304.0,10.73,13.8,46.0,98.044,10.73,5.0,19.0,304.0,1.26,,NW,
CAHC1,2017-01-02T01:11:00Z,5.0,74.0,3.58,299.0,8.49,13.5,16.0,98.044,8.49,4.44,18.2,300.0,0.7,,WNW,
CAHC1,2017-01-02T02:11:00Z,4.44,77.0,2.68,309.0,6.26,13.2,0.0,98.044,6.26,3.89,17.2,317.0,0.71,,NW,
CAHC1,2017-01-02T03:11:00Z,3.33,77.0,1.79,1.0,3.58,13.1,0.0,98.044,3.58,2.22,18.2,345.0,-0.37,,N,
CAHC1,2017-01-02T04:11:00Z,3.89,78.0,1.79,348.0,2.68,12.9,0.0,98.044,2.68,2.78,19.4,353.0,0.36,,NNW,
CAHC1,2017-01-02T05:11:00Z,4.44,79.0,1.34,14.0,2.23,12.7,0.0,98.044,2.23,3.89,19.3,355.0,1.07,,NNE,
CAHC1,2017-01-02T06:11:00Z,3.89,81.0,0.45,298.0,2.23,12.6,0.0,98.044,2.23,3.33,18.9,309.0,0.89,,WNW,
CAHC1,2017-01-02T07:11:00Z,2.78,93.0,1.79,87.0,3.58,12.6,0.0,98.298,3.58,2.22,20.6,316.0,1.75,,E,
CAHC1,2017-01-02T08:11:00Z,2.78,92.0,1.79,145.0,2.68,12.6,0.0,98.298,2.68,1.67,22.1,74.0,1.59,,SE,
CAHC1,2017-01-02T09:11:00Z,2.78,90.0,1.34,136.0,2.68,12.6,0.0,98.298,2.68,2.22,23.3,84.0,1.28,,SE,
CAHC1,2017-01-02T10:11:00Z,3.33,88.0,1.34,158.0,3.13,12.6,0.0,98.298,3.13,2.78,23.7,124.0,1.51,,SSE,
CAHC1,2017-01-02T11:11:00Z,3.33,86.0,1.79,108.0,2.68,12.6,0.0,98.298,2.68,2.22,24.1,121.0,1.18,,ESE,
CAHC1,2017-01-02T12:11:00Z,3.33,83.0,2.23,89.0,4.02,12.6,0.0,98.298,4.02,2.78,24.5,90.0,0.68,,E,
CAHC1,2017-01-02T13:11:00Z,3.33,89.0,1.34,106.0,3.13,12.6,0.0,98.298,3.13,2.78,24.4,75.0,1.67,,ESE,
CAHC1,2017-01-02T14:11:00Z,3.33,85.0,3.13,112.0,4.02,12.5,0.0,98.298,4.02,2.78,24.4,119.0,1.02,,ESE,
CAHC1,2017-01-02T15:11:00Z,3.33,87.0,1.34,88.0,4.02,12.5,0.0,98.298,4.02,2.22,24.5,115.0,1.35,,E,
