# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: DBLC1
# STATION NAME: DIABLO GRANDE
# LATITUDE: 37.329269
# LONGITUDE: -121.295381
# ELEVATION [ft]: 1861
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
DBLC1,2017-01-01T00:00:00Z,6.67,68.0,2.23,79.0,3.58,14.1,235.0,147.066,3.58,11.11,12.5,293.0,1.12,,E,
DBLC1,2017-01-01T01:00:00Z,4.44,73.0,2.68,66.0,3.13,13.6,67.0,147.066,3.13,3.89,13.0,66.0,-0.03,,ENE,
DBLC1,2017-01-01T02:00:00Z,3.89,88.0,1.79,59.0,3.13,13.4,1.0,147.066,3.13,1.67,14.5,73.0,2.06,,ENE,
DBLC1,2017-01-01T03:00:00Z,3.89,84.0,2.23,249.0,3.13,13.3,0.0,147.066,3.13,1.67,17.0,271.0,1.4,,WSW,
DBLC1,2017-01-01T04:00:00Z,4.44,78.0,2.68,165.0,4.02,13.2,0.0,147.066,4.02,2.78,18.2,184.0,0.89,,SSE,
DBLC1,2017-01-01T05:00:00Z,3.89,79.0,1.34,248.0,2.68,13.1,0.0,147.066,2.68,1.67,18.7,182.0,0.54,,WSW,
DBLC1,2017-01-01T06:00:00Z,4.44,79.0,2.68,193.0,3.58,13.0,0.0,147.066,3.58,2.22,20.0,180.0,1.07,,SSW,
DBLC1,2017-01-01T07:00:00Z,4.44,79.0,2.68,192.0,4.47,13.0,0.0,147.066,4.47,2.22,20.0,182.0,1.07,,SSW,
DBLC1,2017-01-01T08:00:00Z,3.33,82.0,4.92,178.0,5.81,12.9,0.0,147.066,5.81,2.22,20.5,178.0,0.51,,S,
DBLC1,2017-01-01T09:00:00Z,4.44,87.0,3.13,38.0,5.81,12.9,0.0,147.066,5.81,2.22,21.0,181.0,2.44,,NE,
DBLC1,2017-01-01T10:00:00Z,4.44,82.0,2.23,154.0,3.13,12.9,0.0,147.066,3.13,1.67,21.1,174.0,1.6,,SSE,
DBLC1,2017-01-01T11:00:00Z,3.89,79.0,1.79,187.0,2.68,12.9,0.0,147.066,2.68,1.11,21.1,169.0,0.54,,S,
DBLC1,2017-01-01T12:00:00Z,3.89,86.0,2.23,269.0,3.58,12.8,0.0,147.066,3.58,1.11,22.1,277.0,1.73,,W,
DBLC1,2017-01-01T13:00:00Z,3.33,87.0,2.68,159.0,4.02,12.8,0.0,147.066,4.02,1.11,22.6,150.0,1.35,,SSE,
DBLC1,2017-01-01T14:00:00Z,3.33,89.0,4.02,170.0,4.92,12.8,0.0,147.066,4.92,2.22,23.1,170.0,1.67,,S,
DBLC1,2017-01-01T15:00:00Z,2.78,93.0,2.68,220.0,7.15,12.8,0.0,147.066,7.15,1.67,23.1,197.0,1.75,,SW,
DBLC1,2017-01-01T16:00:00Z,3.89,91.0,3.58,193.0,5.81,12.8,20.0,147.066,5.81,2.22,23.6,202.0,2.54,,SSW,
DBLC1,2017-01-01T17:00:00Z,5.56,82.0,3.13,209.0,5.37,13.0,163.0,147.066,5.37,5.0,22.9,216.0,2.69,,SSW,
DBLC1,2017-01-01T18:00:00Z,6.67,77.0,3.58,206.0,5.37,14.0,320.0,147.066,5.37,8.33,21.2,182.0,2.88,,SSW,
DBLC1,2017-01-01T19:00:00Z,8.33,69.0,3.58,215.0,5.37,14.2,448.0,147.066,5.37,11.67,17.8,224.0,2.91,,SW,
