# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: FRCC1
# STATION NAME: FREMONT CANYON
# LATITUDE: 33.811139
# LONGITUDE: -117.708361
# ELEVATION [ft]: 1781
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
FRCC1,2017-01-01T00:51:00Z,8.33,99.0,6.7,247.0,12.07,12.6,7.0,304.292,12.07,8.33,26.7,240.0,8.18,,WSW,
FRCC1,2017-01-01T01:51:00Z,7.22,99.0,6.26,242.0,13.86,12.6,0.0,308.61,13.86,7.78,26.8,244.0,7.07,,WSW,
FRCC1,2017-01-01T02:51:00Z,7.22,99.0,6.26,258.0,11.17,12.6,0.0,309.118,11.17,7.22,26.8,268.0,7.07,,WSW,
FRCC1,2017-01-01T03:51:00Z,6.67,99.0,4.47,247.0,8.94,12.6,0.0,309.626,8.94,6.67,26.9,256.0,6.52,,WSW,
FRCC1,2017-01-01T04:51:00Z,6.11,99.0,1.79,246.0,5.37,12.6,0.0,309.88,5.37,6.11,26.9,258.0,5.96,,WSW,
FRCC1,2017-01-01T05:51:00Z,5.56,99.0,3.58,232.0,5.81,12.6,0.0,309.88,5.81,5.0,27.0,233.0,5.41,,SW,
FRCC1,2017-01-01T06:51:00Z,5.56,99.0,1.79,287.0,5.81,12.5,0.0,309.88,5.81,3.89,27.0,240.0,5.41,,WNW,
FRCC1,2017-01-01T07:51:00Z,5.0,99.0,0.45,92.0,2.23,12.5,0.0,309.88,2.23,3.33,27.1,185.0,4.85,,E,
FRCC1,2017-01-01T08:51:00Z,5.56,99.0,0.9,86.0,2.68,12.5,0.0,309.88,2.68,3.33,27.1,250.0,5.41,,E,
FRCC1,2017-01-01T09:51:00Z,5.56,99.0,0.9,180.0,3.13,12.5,0.0,309.88,3.13,3.89,27.0,247.0,5.41,,S,
FRCC1,2017-01-01T10:51:00Z,6.11,95.0,1.79,243.0,3.13,12.5,0.0,310.134,3.13,3.89,27.0,248.0,5.36,,WSW,
FRCC1,2017-01-01T11:51:00Z,5.56,93.0,2.23,169.0,3.13,12.5,0.0,310.134,3.13,3.89,27.0,181.0,4.5,,S,
FRCC1,2017-01-01T12:51:00Z,5.56,89.0,4.02,171.0,5.37,12.5,0.0,310.134,5.37,3.89,27.0,174.0,3.87,,S,
FRCC1,2017-01-01T13:51:00Z,5.56,86.0,4.02,188.0,6.26,12.5,0.0,310.134,6.26,3.89,27.0,188.0,3.37,,S,
FRCC1,2017-01-01T14:51:00Z,5.56,83.0,4.47,195.0,6.26,12.5,0.0,310.134,6.26,3.33,27.0,166.0,2.87,,SSW,
