# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: HDZC1
# STATION NAME: HERNANDEZ
# LATITUDE: 36.382542
# LONGITUDE: -120.855819
# ELEVATION [ft]: 3733
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
HDZC1,2017-01-01T00:07:00Z,3.33,81.0,2.68,63.0,4.92,14.5,160.0,117.602,4.92,4.44,16.5,61.0,0.34,,ENE,
HDZC1,2017-01-01T01:07:00Z,1.67,93.0,2.23,76.0,4.02,13.7,42.0,117.602,4.02,2.22,17.4,43.0,0.65,,ENE,
HDZC1,2017-01-01T02:07:00Z,0.56,97.0,1.34,81.0,3.58,13.4,0.0,117.602,3.58,0.0,19.2,49.0,0.13,,E,
HDZC1,2017-01-01T03:07:00Z,1.11,95.0,2.23,52.0,3.58,13.3,0.0,117.602,3.58,-0.56,20.2,60.0,0.39,,NE,
HDZC1,2017-01-01T04:07:00Z,0.56,88.0,2.68,57.0,4.02,13.2,0.0,117.602,4.02,-0.56,20.7,65.0,-1.22,,ENE,
HDZC1,2017-01-01T05:07:00Z,0.0,93.0,2.68,72.0,4.02,13.1,0.0,117.602,4.02,-1.11,21.7,61.0,-1.01,,ENE,
HDZC1,2017-01-01T06:07:00Z,0.56,89.0,1.79,26.0,4.47,13.0,0.0,117.602,4.47,-1.11,21.7,54.0,-1.07,,NNE,
HDZC1,2017-01-01T07:07:00Z,0.56,84.0,2.68,59.0,4.02,13.0,0.0,117.602,4.02,-1.11,22.7,281.0,-1.87,,ENE,
HDZC1,2017-01-01T08:07:00Z,1.11,78.0,2.23,323.0,4.02,13.0,0.0,117.602,4.02,-0.56,22.2,42.0,-2.35,,NW,
