# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: JBGC1
# STATION NAME: JARBO GAP
# LATITUDE: 39.735908
# LONGITUDE: -121.488983
# ELEVATION [ft]: 2535
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
JBGC1,2017-01-01T00:13:00Z,9.44,63.0,3.13,234.0,4.47,13.7,38.0,862.584,4.47,8.89,10.8,238.0,2.68,,SW,
JBGC1,2017-01-01T01:13:00Z,7.78,67.0,0.0,,2.68,13.5,11.0,862.584,2.68,5.56,11.2,239.0,1.97,,,
JBGC1,2017-01-01T02:13:00Z,7.22,69.0,0.45,79.0,1.79,13.3,0.0,862.584,1.79,4.44,12.0,61.0,1.85,,E,
JBGC1,2017-01-01T03:13:00Z,6.67,75.0,2.23,34.0,2.68,13.2,0.0,862.584,2.68,4.44,13.1,30.0,2.5,,NE,
JBGC1,2017-01-01T04:13:00Z,5.56,77.0,0.0,,2.23,13.1,0.0,862.584,2.23,2.78,13.9,26.0,1.8,,,
JBGC1,2017-01-01T05:13:00Z,5.0,72.0,0.45,323.0,2.23,13.0,0.0,862.584,2.23,1.67,15.3,37.0,0.31,,NW,
JBGC1,2017-01-01T06:13:00Z,3.89,78.0,2.23,29.0,3.58,13.0,0.0,862.584,3.58,1.67,16.2,46.0,0.36,,NNE,
JBGC1,2017-01-01T07:13:00Z,3.33,74.0,3.13,46.0,4.02,13.0,0.0,862.584,4.02,1.67,17.2,33.0,-0.92,,NE,
JBGC1,2017-01-01T08:13:00Z,2.78,76.0,3.58,43.0,5.37,12.9,0.0,862.584,5.37,1.11,17.7,39.0,-1.08,,NE,
JBGC1,2017-01-01T09:13:00Z,2.22,78.0,3.58,42.0,5.37,12.9,0.0,862.584,5.37,1.11,18.2,36.0,-1.27,,NE,
JBGC1,2017-01-01T10:13:00Z,1.67,79.0,3.13,46.0,5.37,12.9,0.0,862.584,5.37,0.56,18.1,39.0,-1.63,,NE,
JBGC1,2017-01-01T11:13:00Z,1.67,79.0,0.9,17.0,3.58,12.8,0.0,862.584,3.58,1.11,19.3,38.0,-1.63,,NNE,
JBGC1,2017-01-01T12:13:00Z,2.22,84.0,0.45,58.0,1.79,12.8,0.0,862.584,1.79,1.67,19.1,24.0,-0.24,,ENE,
JBGC1,2017-01-01T13:13:00Z,1.67,85.0,1.79,39.0,2.68,12.8,0.0,862.584,2.68,0.56,19.5,44.0,-0.61,,NE,
JBGC1,2017-01-01T14:13:00Z,1.67,94.0,0.9,246.0,1.79,12.8,0.0,862.584,1.79,1.67,19.3,229.0,0.8,,WSW,
JBGC1,2017-01-01T15:13:00Z,1.67,97.0,1.34,148.0,3.13,12.8,0.0,862.584,3.13,1.67,20.2,137.0,1.24,,SSE,
JBGC1,2017-01-01T16:13:00Z,1.67,98.0,1.34,119.0,3.58,12.8,1.0,862.584,3.58,1.67,21.0,177.0,1.38,,ESE,
JBGC1,2017-01-01T17:13:00Z,2.22,99.0,1.34,126.0,3.13,12.8,9.0,862.838,3.13,2.22,21.7,104.0,2.08,,SE,
JBGC1,2017-01-01T18:13:00Z,2.78,99.0,0.45,189.0,2.23,12.9,21.0,863.854,2.23,2.78,23.0,98.0,2.64,,S,
JBGC1,2017-01-01T19:13:00Z,2.78,99.0,1.79,243.0,4.02,13.1,27.0,864.87,4.02,2.78,23.9,223.0,2.64,,WSW,
JBGC1,2017-01-01T20:13:00Z,2.22,100.0,1.34,196.0,4.02,13.2,27.0,866.648,4.02,2.78,24.7,226.0,2.22,,SSW,
JBGC1,2017-01-01T21:13:00Z,2.22,100.0,1.79,243.0,5.81,13.2,18.0,866.648,5.81,2.22,25.5,220.0,2.22,,WSW,
JBGC1,2017-01-01T22:13:00Z,2.22,100.0,1.79,240.0,6.26,13.2,21.0,867.156,6.26,2.22,25.9,217.0,2.22,,WSW,
JBGC1,2017-01-01T23:13:00Z,1.67,100.0,1.34,259.0,5.37,13.1,13.0,867.664,5.37,1.67,26.3,169.0,1.67,,W,
JBGC1,2017-01-02T00:13:00Z,1.67,100.0,1.79,235.0,5.37,13.0,5.0,867.918,5.37,1.67,26.6,255.0,1.67,,SW,
JBGC1,2017-01-02T01:13:00Z,1.67,100.0,1.34,192.0,4.92,12.9,2.0,867.918,4.92,1.67,26.8,157.0,1.67,,SSW,
