# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: KELC1
# STATION NAME: KONOCTI
# LATITUDE: 38.911889
# LONGITUDE: -122.706314
# ELEVATION [ft]: 2163
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
KELC1,2017-01-01T00:57:00Z,8.33,71.0,4.02,266.0,9.84,13.5,41.0,318.262,9.84,7.22,11.2,266.0,3.32,,W,
KELC1,2017-01-01T01:57:00Z,8.89,69.0,4.92,273.0,6.7,13.3,1.0,318.262,6.7,6.67,12.4,261.0,3.45,,W,
KELC1,2017-01-01T02:57:00Z,8.33,69.0,5.37,268.0,7.15,13.1,0.0,318.262,7.15,6.67,13.2,266.0,2.91,,W,
KELC1,2017-01-01T03:57:00Z,8.33,64.0,3.58,282.0,6.26,13.0,0.0,318.262,6.26,6.67,13.7,268.0,1.85,,WNW,
KELC1,2017-01-01T04:57:00Z,7.78,67.0,5.37,267.0,8.49,12.9,0.0,318.262,8.49,6.11,14.0,269.0,1.97,,W,
KELC1,2017-01-01T05:57:00Z,8.33,65.0,5.37,276.0,7.15,12.9,0.0,318.262,7.15,6.67,14.3,270.0,2.07,,W,
KELC1,2017-01-01T06:57:00Z,8.33,58.0,4.47,265.0,6.7,12.8,0.0,318.262,6.7,6.11,13.7,268.0,0.46,,W,
KELC1,2017-01-01T07:57:00Z,8.33,53.0,5.37,285.0,8.05,12.8,0.0,318.262,8.05,6.67,12.9,272.0,-0.79,,WNW,
KELC1,2017-01-01T08:57:00Z,6.67,52.0,6.7,279.0,8.94,12.8,0.0,318.262,8.94,5.56,12.7,276.0,-2.59,,W,
KELC1,2017-01-01T09:57:00Z,5.0,75.0,4.47,261.0,10.28,12.8,0.0,318.262,10.28,3.33,13.3,277.0,0.89,,W,
KELC1,2017-01-01T10:57:00Z,4.44,82.0,4.47,284.0,8.05,12.8,0.0,318.262,8.05,2.78,15.2,272.0,1.6,,WNW,
KELC1,2017-01-01T11:57:00Z,5.56,76.0,4.47,278.0,8.49,12.8,0.0,318.262,8.49,3.33,16.2,284.0,1.61,,W,
KELC1,2017-01-01T12:57:00Z,3.89,79.0,3.58,298.0,7.15,12.7,0.0,318.262,7.15,2.22,15.9,294.0,0.54,,WNW,
KELC1,2017-01-01T13:57:00Z,1.67,93.0,1.79,0.0,4.92,12.7,0.0,318.262,4.92,0.56,17.1,314.0,0.65,,N,
KELC1,2017-01-01T14:57:00Z,1.11,96.0,1.79,257.0,6.7,12.7,0.0,318.262,6.7,-0.56,18.4,287.0,0.53,,WSW,
KELC1,2017-01-01T15:57:00Z,1.67,97.0,5.37,274.0,8.05,12.7,14.0,318.262,8.05,0.56,20.1,280.0,1.24,,W,
KELC1,2017-01-01T16:57:00Z,2.78,90.0,5.81,260.0,10.73,14.3,154.0,318.262,10.73,3.33,20.9,278.0,1.28,,W,
KELC1,2017-01-01T17:57:00Z,3.33,71.0,10.28,268.0,12.96,15.0,307.0,318.262,12.96,5.0,18.1,274.0,-1.49,-8.37,W,
KELC1,2017-01-01T18:57:00Z,5.0,63.0,7.15,267.0,12.52,14.3,435.0,318.262,12.52,8.33,14.2,280.0,-1.54,,W,
KELC1,2017-01-01T19:57:00Z,7.22,51.0,5.37,281.0,10.28,14.7,507.0,318.262,10.28,11.67,12.2,260.0,-2.35,,W,
KELC1,2017-01-01T20:57:00Z,7.78,47.0,6.7,291.0,11.62,14.1,515.0,318.262,11.62,11.67,11.2,293.0,-2.94,,WNW,
KELC1,2017-01-01T21:57:00Z,7.22,48.0,7.6,281.0,11.62,14.4,443.0,318.262,11.62,10.56,10.7,273.0,-3.17,,W,
KELC1,2017-01-01T22:57:00Z,6.67,49.0,9.84,276.0,14.31,14.1,316.0,318.262,14.31,9.44,10.3,278.0,-3.4,-4.07,W,
KELC1,2017-01-01T23:57:00Z,5.0,57.0,5.81,292.0,12.96,14.1,215.0,318.262,12.96,5.56,10.3,281.0,-2.9,,WNW,
KELC1,2017-01-02T00:57:00Z,3.33,76.0,3.58,263.0,9.39,13.6,40.0,318.262,9.39,3.33,10.5,304.0,-0.55,,W,
KELC1,2017-01-02T01:57:00Z,2.22,81.0,5.81,267.0,8.49,13.3,1.0,318.262,8.49,1.67,11.1,258.0,-0.74,,W,
KELC1,2017-01-02T02:57:00Z,1.67,81.0,5.37,264.0,8.94,13.2,0.0,318.262,8.94,0.56,12.2,272.0,-1.28,,W,
KELC1,2017-01-02T03:57:00Z,1.11,83.0,5.81,262.0,11.17,13.0,0.0,318.262,11.17,0.0,13.7,261.0,-1.49,,W,
KELC1,2017-01-02T04:57:00Z,1.67,82.0,6.26,256.0,11.62,12.9,0.0,318.262,11.62,0.56,14.9,268.0,-1.11,,WSW,
KELC1,2017-01-02T05:57:00Z,1.11,85.0,6.7,260.0,11.17,12.9,0.0,318.262,11.17,0.0,16.0,248.0,-1.16,,W,
KELC1,2017-01-02T06:57:00Z,1.11,84.0,6.26,263.0,11.17,12.8,0.0,318.262,11.17,-0.56,17.1,268.0,-1.33,,W,
KELC1,2017-01-02T07:57:00Z,0.0,81.0,4.02,258.0,9.39,12.8,0.0,318.262,9.39,-1.11,18.0,262.0,-2.91,,WSW,
KELC1,2017-01-02T08:57:00Z,0.56,81.0,4.47,266.0,6.26,12.8,0.0,318.262,6.26,-1.11,18.9,263.0,-2.36,,W,
KELC1,2017-01-02T09:57:00Z,0.56,84.0,4.02,273.0,8.05,12.8,0.0,318.262,8.05,-1.11,19.8,287.0,-1.87,,W,
KELC1,2017-01-02T10:57:00Z,1.11,80.0,6.7,242.0,10.73,12.8,0.0,318.262,10.73,-0.56,19.7,250.0,-2.0,,WSW,
KELC1,2017-01-02T11:57:00Z,1.11,79.0,6.26,246.0,9.39,12.7,0.0,318.262,9.39,0.0,19.2,263.0,-2.17,,WSW,
KELC1,2017-01-02T12:57:00Z,1.11,77.0,4.92,240.0,10.28,12.7,0.0,318.262,10.28,-0.56,19.3,232.0,-2.52,,WSW,
KELC1,2017-01-02T13:57:00Z,1.11,62.0,4.47,251.0,9.84,12.7,0.0,318.262,9.84,-0.56,18.4,237.0,-5.44,,WSW,
KELC1,2017-01-02T14:57:00Z,1.67,70.0,4.02,243.0,8.94,12.7,0.0,318.262,8.94,0.56,17.5,237.0,-3.28,,WSW,
KELC1,2017-01-02T15:57:00Z,1.11,76.0,3.58,242.0,7.6,12.7,6.0,318.262,7.6,0.56,17.5,243.0,-2.7,,WSW,
KELC1,2017-01-02T16:57:00Z,2.22,71.0,4.92,228.0,8.05,14.0,86.0,318.262,8.05,2.78,19.5,227.0,-2.56,,SW,
KELC1,2017-01-02T17:57:00Z,3.33,73.0,5.81,227.0,7.6,15.0,250.0,318.262,7.6,6.11,15.7,227.0,-1.11,,SW,
KELC1,2017-01-02T18:57:00Z,4.44,66.0,8.05,230.0,12.07,14.5,492.0,318.262,12.07,8.33,13.3,238.0,-1.43,-5.29,SW,
KELC1,2017-01-02T19:57:00Z,3.89,75.0,5.37,221.0,11.17,14.2,220.0,318.262,11.17,5.0,13.8,221.0,-0.19,,SW,
KELC1,2017-01-02T20:57:00Z,2.78,76.0,7.15,224.0,10.28,14.0,189.0,318.262,10.28,3.33,13.9,224.0,-1.08,,SW,
KELC1,2017-01-02T21:57:00Z,2.78,76.0,6.7,233.0,13.41,14.0,199.0,318.262,13.41,3.33,15.1,246.0,-1.08,,SW,
KELC1,2017-01-02T22:57:00Z,3.33,70.0,6.26,230.0,11.62,13.9,203.0,318.262,11.62,3.89,15.4,260.0,-1.68,,SW,
KELC1,2017-01-02T23:57:00Z,2.78,83.0,9.39,229.0,14.75,13.7,60.0,318.262,14.75,2.22,17.4,224.0,0.14,-8.36,SW,
KELC1,2017-01-03T00:57:00Z,2.78,78.0,7.15,227.0,12.96,13.5,17.0,318.262,12.96,1.67,18.7,225.0,-0.72,,SW,
KELC1,2017-01-03T01:57:00Z,2.78,77.0,8.05,229.0,11.17,13.3,1.0,318.262,11.17,1.67,20.1,231.0,-0.9,-7.24,SW,
KELC1,2017-01-03T02:57:00Z,2.78,77.0,4.47,227.0,14.31,13.1,0.0,318.262,14.31,1.67,19.6,233.0,-0.9,,SW,
KELC1,2017-01-03T03:57:00Z,2.78,87.0,5.81,231.0,9.39,13.0,0.0,318.516,9.39,1.67,21.1,245.0,0.8,,SW,
KELC1,2017-01-03T04:57:00Z,2.78,77.0,5.81,237.0,11.17,12.9,0.0,318.516,11.17,1.67,21.6,245.0,-0.9,,WSW,
KELC1,2017-01-03T05:57:00Z,2.78,87.0,3.58,216.0,8.05,12.9,0.0,318.516,8.05,1.67,22.6,233.0,0.8,,SW,
KELC1,2017-01-03T06:57:00Z,2.78,83.0,2.68,261.0,8.05,12.8,0.0,318.516,8.05,1.67,23.1,271.0,0.14,,W,
KELC1,2017-01-03T07:57:00Z,2.22,93.0,0.9,287.0,3.13,12.8,0.0,318.77,3.13,1.67,23.6,236.0,1.19,,WNW,
KELC1,2017-01-03T08:57:00Z,2.22,91.0,1.34,38.0,4.02,12.8,0.0,318.77,4.02,1.67,23.6,263.0,0.88,,NE,
KELC1,2017-01-03T09:57:00Z,2.22,98.0,1.34,33.0,2.68,12.8,0.0,319.024,2.68,1.67,24.2,78.0,1.93,,NNE,
KELC1,2017-01-03T10:57:00Z,2.22,98.0,1.79,9.0,4.02,12.8,0.0,319.278,4.02,1.67,24.8,283.0,1.93,,N,
KELC1,2017-01-03T11:57:00Z,3.33,97.0,4.92,233.0,8.05,12.8,0.0,319.278,8.05,2.22,25.3,245.0,2.89,,SW,
KELC1,2017-01-03T12:57:00Z,2.78,97.0,2.68,55.0,6.26,12.7,0.0,319.786,6.26,2.22,25.3,227.0,2.34,,NE,
KELC1,2017-01-03T13:57:00Z,2.78,90.0,1.79,101.0,5.81,12.7,0.0,319.786,5.81,2.22,25.3,232.0,1.28,,E,
KELC1,2017-01-03T14:57:00Z,2.78,99.0,2.23,107.0,5.37,12.7,0.0,319.786,5.37,2.78,25.9,111.0,2.64,,ESE,
KELC1,2017-01-03T15:57:00Z,3.33,100.0,2.23,112.0,4.02,12.7,2.0,319.786,4.02,2.78,25.9,126.0,3.33,,ESE,
KELC1,2017-01-03T16:57:00Z,3.33,100.0,2.23,108.0,5.81,12.7,21.0,320.04,5.81,3.89,26.4,119.0,3.33,,ESE,
KELC1,2017-01-03T17:57:00Z,3.89,100.0,2.68,88.0,3.13,12.8,33.0,321.564,3.13,3.89,26.4,91.0,3.89,,E,
KELC1,2017-01-03T18:57:00Z,4.44,100.0,2.68,98.0,4.47,13.0,64.0,324.104,4.47,5.0,26.3,99.0,4.44,,E,
KELC1,2017-01-03T19:57:00Z,4.44,100.0,3.13,99.0,4.47,13.2,60.0,326.644,4.47,5.0,26.3,94.0,4.44,,E,
KELC1,2017-01-03T20:57:00Z,5.0,100.0,3.13,96.0,5.37,13.4,90.0,329.184,5.37,5.56,26.3,93.0,5.0,,E,
KELC1,2017-01-03T21:57:00Z,5.56,100.0,3.58,91.0,5.37,13.3,54.0,330.962,5.37,5.56,26.3,95.0,5.56,,E,
KELC1,2017-01-03T22:57:00Z,5.56,100.0,3.13,107.0,6.26,13.3,31.0,333.502,6.26,5.56,26.3,101.0,5.56,,ESE,
KELC1,2017-01-03T23:57:00Z,6.11,100.0,3.58,104.0,6.7,13.1,20.0,335.28,6.7,5.56,26.3,98.0,6.11,,ESE,
KELC1,2017-01-04T00:57:00Z,6.11,100.0,3.13,102.0,5.37,13.0,6.0,338.836,5.37,6.11,26.3,95.0,6.11,,ESE,
KELC1,2017-01-04T01:57:00Z,6.67,100.0,4.47,133.0,8.05,12.9,0.0,340.614,8.05,6.11,26.3,121.0,6.67,,SE,
KELC1,2017-01-04T02:57:00Z,8.33,97.0,4.92,165.0,7.6,12.8,0.0,341.884,7.6,7.22,26.2,139.0,7.88,,SSE,
KELC1,2017-01-04T03:57:00Z,10.0,89.0,5.81,193.0,10.73,12.8,0.0,343.154,10.73,8.33,26.1,147.0,8.25,,SSW,
KELC1,2017-01-04T04:57:00Z,10.0,88.0,6.26,220.0,12.07,12.7,0.0,346.202,12.07,8.89,26.1,219.0,8.08,,SW,
KELC1,2017-01-04T05:57:00Z,10.56,90.0,5.37,225.0,12.96,12.7,0.0,348.996,12.96,9.44,26.1,201.0,8.97,,SW,
KELC1,2017-01-04T06:57:00Z,11.11,92.0,8.49,229.0,15.64,12.7,0.0,351.79,15.64,10.0,26.0,256.0,9.85,2.2,SW,
KELC1,2017-01-04T07:57:00Z,11.11,91.0,8.49,235.0,14.75,12.7,0.0,352.806,14.75,10.0,26.7,269.0,9.68,2.2,SW,
KELC1,2017-01-04T08:57:00Z,10.0,86.0,8.94,244.0,17.88,12.7,0.0,353.568,17.88,8.89,26.7,267.0,7.74,0.55,WSW,
KELC1,2017-01-04T09:57:00Z,10.0,82.0,8.05,239.0,16.54,12.7,0.0,354.076,16.54,8.33,26.7,242.0,7.04,1.24,WSW,
KELC1,2017-01-04T10:57:00Z,8.89,88.0,4.92,256.0,16.54,12.7,0.0,354.838,16.54,7.78,26.8,240.0,6.99,,WSW,
KELC1,2017-01-04T11:57:00Z,8.33,89.0,6.26,261.0,10.73,12.7,0.0,355.346,10.73,7.78,26.8,211.0,6.6,,W,
KELC1,2017-01-04T12:57:00Z,6.67,93.0,7.15,278.0,10.73,12.7,0.0,355.6,10.73,6.67,26.9,282.0,5.6,,W,
KELC1,2017-01-04T13:57:00Z,6.11,94.0,4.47,266.0,9.39,12.7,0.0,355.6,9.39,5.56,26.9,279.0,5.2,,W,
KELC1,2017-01-04T14:57:00Z,6.11,88.0,4.47,273.0,6.7,12.7,0.0,355.6,6.7,5.0,27.0,258.0,4.25,,W,
KELC1,2017-01-04T15:57:00Z,5.56,89.0,5.37,266.0,7.6,12.7,4.0,355.6,7.6,4.44,27.0,268.0,3.87,,W,
KELC1,2017-01-04T16:57:00Z,5.56,91.0,5.37,269.0,8.94,12.8,32.0,355.6,8.94,5.0,26.9,263.0,4.19,,W,
KELC1,2017-01-04T17:57:00Z,6.11,88.0,5.81,262.0,9.84,14.7,129.0,355.6,9.84,6.11,25.7,275.0,4.25,,W,
KELC1,2017-01-04T18:57:00Z,5.56,76.0,4.02,266.0,8.94,13.5,155.0,355.6,8.94,5.0,26.3,270.0,1.61,,W,
KELC1,2017-01-04T19:57:00Z,5.56,88.0,5.81,271.0,7.6,13.8,175.0,355.854,7.6,5.56,26.3,280.0,3.71,,W,
KELC1,2017-01-04T20:57:00Z,5.56,72.0,6.26,269.0,8.94,13.9,177.0,355.854,8.94,5.0,26.3,283.0,0.85,,W,
KELC1,2017-01-04T21:57:00Z,4.44,80.0,5.37,253.0,9.84,13.8,129.0,355.854,9.84,4.44,26.4,272.0,1.25,,WSW,
KELC1,2017-01-04T22:57:00Z,3.89,91.0,6.7,275.0,9.39,13.7,90.0,356.362,9.39,3.33,26.4,282.0,2.54,,W,
KELC1,2017-01-04T23:57:00Z,3.33,91.0,3.13,272.0,8.05,13.6,72.0,356.616,8.05,3.33,27.1,270.0,1.98,,W,
KELC1,2017-01-05T00:57:00Z,3.89,85.0,2.23,304.0,4.47,13.4,23.0,356.616,4.47,2.78,27.1,275.0,1.57,,NW,
KELC1,2017-01-05T01:57:00Z,3.33,86.0,2.23,288.0,3.58,13.2,0.0,356.616,3.58,2.22,27.1,277.0,1.18,,WNW,
KELC1,2017-01-05T02:57:00Z,2.78,83.0,1.34,254.0,2.68,13.0,0.0,356.616,2.68,2.22,27.1,286.0,0.14,,WSW,
KELC1,2017-01-05T03:57:00Z,3.89,82.0,0.9,258.0,3.13,13.0,0.0,356.616,3.13,2.78,27.1,281.0,1.06,,WSW,
KELC1,2017-01-05T04:57:00Z,3.89,87.0,1.79,260.0,5.37,12.9,0.0,356.616,5.37,2.78,27.1,290.0,1.9,,W,
KELC1,2017-01-05T05:57:00Z,3.89,87.0,2.23,284.0,4.02,12.9,0.0,356.616,4.02,2.78,27.1,286.0,1.9,,WNW,
KELC1,2017-01-05T06:57:00Z,3.33,88.0,2.68,258.0,4.02,12.9,0.0,356.616,4.02,2.22,27.1,258.0,1.51,,WSW,
KELC1,2017-01-05T07:57:00Z,2.22,91.0,3.13,261.0,4.47,12.8,0.0,356.616,4.47,1.11,27.2,257.0,0.88,,W,
KELC1,2017-01-05T08:57:00Z,2.22,92.0,3.58,269.0,6.26,12.8,0.0,356.616,6.26,1.11,27.2,269.0,1.04,,W,
KELC1,2017-01-05T09:57:00Z,1.67,94.0,3.58,293.0,4.92,12.8,0.0,356.616,4.92,0.56,27.2,297.0,0.8,,WNW,
KELC1,2017-01-05T10:57:00Z,1.11,91.0,3.13,292.0,5.81,12.8,0.0,356.616,5.81,-0.56,26.7,290.0,-0.21,,WNW,
KELC1,2017-01-05T11:57:00Z,0.56,87.0,3.58,288.0,5.37,12.8,0.0,356.616,5.37,-1.11,26.7,291.0,-1.38,,WNW,
KELC1,2017-01-05T12:57:00Z,0.0,82.0,4.92,281.0,5.37,12.8,0.0,356.616,5.37,-1.67,26.8,279.0,-2.74,,W,
