# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: LOAC1
# STATION NAME: LOS ALTOS
# LATITUDE: 37.354722
# LONGITUDE: -122.141667
# ELEVATION [ft]: 539
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
LOAC1,2017-01-01T00:10:00Z,9.44,66.0,0.0,,0.9,13.3,177.0,212.09,0.9,9.44,11.2,105.0,3.34,,,
LOAC1,2017-01-01T01:10:00Z,7.78,73.0,0.0,,2.23,13.1,18.0,212.09,2.23,6.11,11.8,271.0,3.19,,,
LOAC1,2017-01-01T02:10:00Z,5.56,80.0,1.34,257.0,2.23,12.9,1.0,212.09,2.23,3.33,13.3,226.0,2.34,,WSW,
LOAC1,2017-01-01T03:10:00Z,6.11,75.0,1.34,262.0,2.68,12.9,0.0,212.09,2.68,2.78,14.6,294.0,1.96,,W,
LOAC1,2017-01-01T04:10:00Z,6.11,72.0,1.34,272.0,2.68,12.9,0.0,212.09,2.68,2.22,15.9,297.0,1.38,,W,
LOAC1,2017-01-01T05:10:00Z,5.0,81.0,1.79,242.0,2.23,12.9,0.0,212.09,2.23,2.22,17.1,245.0,1.97,,WSW,
LOAC1,2017-01-01T06:10:00Z,4.44,85.0,1.79,249.0,3.13,12.8,0.0,212.09,3.13,1.67,18.6,250.0,2.11,,WSW,
LOAC1,2017-01-01T07:10:00Z,6.67,83.0,1.34,295.0,2.68,12.8,0.0,212.09,2.68,3.89,20.3,284.0,3.95,,WNW,
LOAC1,2017-01-01T08:10:00Z,7.22,83.0,0.45,11.0,3.13,12.8,0.0,212.09,3.13,3.89,20.1,295.0,4.49,,N,
LOAC1,2017-01-01T09:10:00Z,6.67,83.0,0.9,341.0,2.68,12.8,0.0,212.09,2.68,3.33,20.8,307.0,3.95,,NNW,
LOAC1,2017-01-01T10:10:00Z,8.89,81.0,2.68,296.0,6.26,12.8,0.0,212.09,6.26,7.78,22.3,297.0,5.77,,WNW,
LOAC1,2017-01-01T11:10:00Z,8.89,79.0,2.23,307.0,6.26,12.7,0.0,212.09,6.26,7.78,21.8,305.0,5.41,,NW,
LOAC1,2017-01-01T12:10:00Z,8.33,76.0,1.79,269.0,4.47,12.7,0.0,212.09,4.47,7.22,20.4,297.0,4.3,,W,
LOAC1,2017-01-01T13:10:00Z,6.67,80.0,0.45,265.0,3.58,12.7,0.0,212.09,3.58,3.89,20.7,358.0,3.42,,W,
LOAC1,2017-01-01T14:10:00Z,7.78,78.0,1.79,329.0,3.58,12.6,0.0,212.09,3.58,5.56,22.6,272.0,4.14,,NNW,
LOAC1,2017-01-01T15:10:00Z,7.78,77.0,1.79,304.0,4.92,12.6,0.0,212.09,4.92,5.56,23.0,302.0,3.95,,NW,
LOAC1,2017-01-01T16:10:00Z,8.33,76.0,2.23,296.0,4.92,12.7,10.0,212.09,4.92,7.22,22.8,299.0,4.3,,WNW,
LOAC1,2017-01-01T17:10:00Z,8.89,71.0,1.79,274.0,5.37,12.9,73.0,212.09,5.37,8.89,21.4,304.0,3.86,,W,
LOAC1,2017-01-01T18:10:00Z,9.44,64.0,1.79,294.0,6.7,13.6,225.0,212.09,6.7,11.67,18.0,316.0,2.9,,WNW,
LOAC1,2017-01-01T19:10:00Z,10.56,61.0,2.23,277.0,8.94,14.2,315.0,212.09,8.94,15.56,17.4,292.0,3.28,,W,
LOAC1,2017-01-01T20:10:00Z,10.56,59.0,3.58,294.0,8.49,14.3,449.0,212.09,8.49,16.11,14.1,308.0,2.8,,WNW,
LOAC1,2017-01-01T21:10:00Z,11.67,57.0,2.23,265.0,6.7,13.7,458.0,212.09,6.7,17.78,12.6,305.0,3.36,,W,
LOAC1,2017-01-01T22:10:00Z,12.22,51.0,2.23,283.0,8.49,14.0,507.0,212.09,8.49,18.89,11.0,314.0,2.29,,WNW,
LOAC1,2017-01-01T23:10:00Z,11.11,51.0,2.68,286.0,7.6,14.3,374.0,212.09,7.6,15.0,10.3,278.0,1.26,,WNW,
LOAC1,2017-01-02T00:10:00Z,8.89,54.0,2.68,292.0,8.49,13.3,125.0,212.09,8.49,7.78,10.5,302.0,-0.01,,WNW,
LOAC1,2017-01-02T01:10:00Z,7.22,63.0,1.79,304.0,7.6,13.0,14.0,212.09,7.6,5.56,10.7,331.0,0.57,,NW,
LOAC1,2017-01-02T02:10:00Z,6.67,68.0,1.34,321.0,4.02,12.9,0.0,212.09,4.02,4.44,11.7,231.0,1.12,,NW,
LOAC1,2017-01-02T03:10:00Z,7.22,73.0,1.34,277.0,3.58,12.9,0.0,212.09,3.58,5.0,12.3,332.0,2.65,,W,
