# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: LPZC1
# STATION NAME: LA PANZA
# LATITUDE: 35.380725
# LONGITUDE: -120.188094
# ELEVATION [ft]: 1633
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
LPZC1,2017-01-01T00:54:00Z,5.0,90.0,2.68,42.0,6.26,13.4,34.0,75.946,6.26,5.56,19.9,47.0,3.48,,NE,
LPZC1,2017-01-01T01:54:00Z,4.44,92.0,4.47,75.0,6.7,13.2,0.0,75.946,6.7,5.0,20.9,71.0,3.24,,ENE,
LPZC1,2017-01-01T02:54:00Z,4.44,89.0,3.58,62.0,5.81,13.1,0.0,75.946,5.81,4.44,21.4,72.0,2.76,,ENE,
LPZC1,2017-01-01T03:54:00Z,3.89,90.0,3.58,88.0,6.7,13.1,0.0,75.946,6.7,3.33,20.5,85.0,2.38,,E,
LPZC1,2017-01-01T04:54:00Z,2.78,91.0,1.34,111.0,4.02,13.0,0.0,75.946,4.02,1.67,21.6,65.0,1.44,,ESE,
LPZC1,2017-01-01T05:54:00Z,2.78,95.0,0.45,324.0,4.02,13.0,0.0,75.946,4.02,2.22,23.1,59.0,2.05,,NW,
LPZC1,2017-01-01T06:54:00Z,3.33,89.0,0.45,167.0,2.23,13.0,0.0,75.946,2.23,3.33,23.6,132.0,1.67,,SSE,
LPZC1,2017-01-01T07:54:00Z,2.22,92.0,1.34,64.0,3.13,12.9,0.0,75.946,3.13,0.0,22.1,247.0,1.04,,ENE,
LPZC1,2017-01-01T08:54:00Z,0.0,97.0,1.34,209.0,2.23,12.9,0.0,75.946,2.23,-1.67,23.8,267.0,-0.43,,SSW,
LPZC1,2017-01-01T09:54:00Z,0.0,100.0,0.9,229.0,2.23,12.9,0.0,75.946,2.23,-1.67,23.3,270.0,0.0,,SW,
LPZC1,2017-01-01T10:54:00Z,-1.11,99.0,0.9,255.0,2.23,12.8,0.0,75.946,2.23,-2.78,24.5,275.0,-1.25,,WSW,
LPZC1,2017-01-01T11:54:00Z,-1.67,99.0,0.9,248.0,1.79,12.8,0.0,75.946,1.79,-3.33,24.5,264.0,-1.81,,WSW,
LPZC1,2017-01-01T12:54:00Z,-2.22,100.0,0.9,274.0,1.79,12.7,0.0,75.946,1.79,-3.89,24.5,250.0,-2.22,,W,
LPZC1,2017-01-01T13:54:00Z,-2.78,100.0,0.45,20.0,1.34,12.7,0.0,75.946,1.34,-4.44,24.6,281.0,-2.78,,NNE,
LPZC1,2017-01-01T14:54:00Z,-2.78,100.0,0.45,262.0,1.79,12.7,0.0,75.946,1.79,-5.0,24.6,299.0,-2.78,,W,
