# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: MTZC1
# STATION NAME: MOUNT ZION
# LATITUDE: 38.390064
# LONGITUDE: -120.652403
# ELEVATION [ft]: 2967
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
MTZC1,2017-01-01T00:56:00Z,5.56,86.0,1.79,298.0,3.13,13.6,53.0,465.836,3.13,3.89,20.9,287.0,3.37,,WNW,
MTZC1,2017-01-01T01:56:00Z,5.56,68.0,2.23,272.0,3.13,13.4,0.0,465.836,3.13,3.89,20.4,261.0,0.05,,W,
MTZC1,2017-01-01T02:56:00Z,6.11,69.0,1.79,267.0,3.13,13.3,0.0,465.836,3.13,3.33,20.0,277.0,0.78,,W,
MTZC1,2017-01-01T03:56:00Z,4.44,85.0,0.9,64.0,2.68,13.2,0.0,465.836,2.68,2.22,20.0,255.0,2.11,,ENE,
MTZC1,2017-01-01T04:56:00Z,3.89,85.0,0.45,13.0,1.79,13.2,0.0,465.836,1.79,1.67,21.5,66.0,1.57,,NNE,
MTZC1,2017-01-01T05:56:00Z,2.22,91.0,3.13,85.0,4.02,13.2,0.0,465.836,4.02,1.11,22.1,81.0,0.88,,E,
MTZC1,2017-01-01T06:56:00Z,2.22,93.0,4.02,79.0,5.37,13.1,0.0,465.836,5.37,1.11,22.6,81.0,1.19,,E,
MTZC1,2017-01-01T07:56:00Z,2.22,79.0,1.79,224.0,4.47,13.1,0.0,465.836,4.47,1.11,22.6,85.0,-1.09,,SW,
MTZC1,2017-01-01T08:56:00Z,0.56,100.0,0.9,50.0,3.13,13.1,0.0,465.836,3.13,0.0,23.2,261.0,0.56,,NE,
MTZC1,2017-01-01T09:56:00Z,0.56,100.0,3.13,77.0,4.02,13.1,0.0,465.836,4.02,0.56,23.7,76.0,0.56,,ENE,
MTZC1,2017-01-01T10:56:00Z,1.67,100.0,1.79,66.0,4.02,13.0,0.0,465.836,4.02,0.0,24.3,80.0,1.67,,ENE,
MTZC1,2017-01-01T11:56:00Z,1.67,100.0,1.34,227.0,2.68,13.0,0.0,465.836,2.68,0.56,24.8,229.0,1.67,,SW,
MTZC1,2017-01-01T12:56:00Z,1.67,100.0,1.34,92.0,2.68,13.0,0.0,465.836,2.68,1.67,24.8,228.0,1.67,,E,
