# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: NZAC1
# STATION NAME: ANZA
# LATITUDE: 33.555864
# LONGITUDE: -116.674542
# ELEVATION [ft]: 3939
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
NZAC1,2017-01-01T00:54:00Z,6.67,100.0,0.45,143.0,2.68,13.5,4.0,207.518,2.68,6.11,26.0,101.0,6.67,,SE,
NZAC1,2017-01-01T01:54:00Z,6.11,98.0,0.45,131.0,3.13,13.4,0.0,207.518,3.13,6.11,26.1,150.0,5.81,,SE,
NZAC1,2017-01-01T02:54:00Z,6.11,100.0,0.0,,2.68,13.3,0.0,208.788,2.68,6.11,26.2,150.0,6.11,,,
NZAC1,2017-01-01T03:54:00Z,3.89,100.0,4.02,266.0,12.52,13.2,0.0,211.582,12.52,3.89,26.0,237.0,3.89,,W,
NZAC1,2017-01-01T04:54:00Z,3.89,100.0,1.79,234.0,5.81,13.1,0.0,212.09,5.81,3.89,26.2,300.0,3.89,,SW,
NZAC1,2017-01-01T05:54:00Z,3.33,100.0,2.68,250.0,6.7,13.0,0.0,213.36,6.7,3.33,26.1,234.0,3.33,,WSW,
NZAC1,2017-01-01T06:54:00Z,2.22,100.0,4.92,313.0,8.94,13.0,0.0,213.614,8.94,2.22,26.1,304.0,2.22,,NW,
NZAC1,2017-01-01T07:54:00Z,1.67,100.0,4.02,291.0,8.05,12.9,0.0,214.122,8.05,1.11,26.0,302.0,1.67,,WNW,
NZAC1,2017-01-01T08:54:00Z,1.11,100.0,2.68,315.0,5.81,12.9,0.0,214.122,5.81,1.11,26.1,303.0,1.11,,NW,
