# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: OKSC1
# STATION NAME: OAKLAND SOUTH
# LATITUDE: 37.786111
# LONGITUDE: -122.144722
# ELEVATION [ft]: 1095
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
OKSC1,2017-01-01T00:33:00Z,8.89,84.0,0.0,,0.0,14.3,76.0,314.96,0.0,8.33,14.7,330.0,6.3,,,
OKSC1,2017-01-01T01:33:00Z,6.11,100.0,0.0,,0.0,13.6,9.0,314.96,0.0,4.44,15.6,324.0,6.11,,,
OKSC1,2017-01-01T02:33:00Z,6.11,97.0,0.9,243.0,3.58,13.4,1.0,314.96,3.58,5.0,17.7,234.0,5.66,,WSW,
OKSC1,2017-01-01T03:33:00Z,6.11,100.0,0.0,,4.47,13.3,1.0,314.96,4.47,5.0,18.0,230.0,6.11,,,
OKSC1,2017-01-01T04:33:00Z,5.56,100.0,0.0,,0.0,13.2,1.0,314.96,0.0,4.44,19.6,222.0,5.56,,,
OKSC1,2017-01-01T05:33:00Z,5.0,100.0,0.0,,0.0,13.1,1.0,314.96,0.0,4.44,21.1,187.0,5.0,,,
OKSC1,2017-01-01T06:33:00Z,5.56,100.0,3.58,231.0,5.81,13.0,1.0,314.96,5.81,5.0,22.4,229.0,5.56,,SW,
OKSC1,2017-01-01T07:33:00Z,5.56,100.0,0.0,,4.47,12.9,1.0,314.96,4.47,5.56,22.2,237.0,5.56,,,
OKSC1,2017-01-01T08:33:00Z,5.56,100.0,0.0,,6.7,12.9,1.0,0.0,6.7,5.56,22.6,229.0,5.56,,,
OKSC1,2017-01-01T09:33:00Z,6.11,100.0,5.81,231.0,10.28,12.9,1.0,0.0,10.28,6.11,23.0,220.0,6.11,,SW,
OKSC1,2017-01-01T10:33:00Z,6.67,100.0,4.02,223.0,10.73,12.9,1.0,0.0,10.73,6.67,22.9,230.0,6.67,,SW,
OKSC1,2017-01-01T11:33:00Z,6.67,100.0,5.37,226.0,10.73,12.8,1.0,0.0,10.73,6.67,22.1,232.0,6.67,,SW,
OKSC1,2017-01-01T12:33:00Z,6.11,100.0,0.9,213.0,8.94,12.8,1.0,0.0,8.94,6.11,22.4,233.0,6.11,,SSW,
OKSC1,2017-01-01T13:33:00Z,6.11,100.0,1.34,222.0,8.49,12.8,1.0,0.0,8.49,6.11,22.5,237.0,6.11,,SW,
OKSC1,2017-01-01T14:33:00Z,6.11,100.0,5.81,225.0,8.94,12.8,1.0,0.0,8.94,6.11,22.3,230.0,6.11,,SW,
OKSC1,2017-01-01T15:33:00Z,5.56,100.0,4.02,225.0,11.17,12.7,2.0,0.0,11.17,5.56,21.2,238.0,5.56,,SW,
OKSC1,2017-01-01T16:33:00Z,5.56,100.0,3.13,220.0,8.49,12.9,21.0,0.0,8.49,5.0,23.0,232.0,5.56,,SW,
OKSC1,2017-01-01T17:33:00Z,7.22,100.0,0.45,210.0,6.26,14.4,187.0,0.0,6.26,7.22,20.0,242.0,7.22,,SSW,
OKSC1,2017-01-01T18:33:00Z,6.67,100.0,0.0,,7.15,14.3,200.0,0.0,7.15,6.11,19.1,235.0,6.67,,,
OKSC1,2017-01-01T19:33:00Z,7.78,92.0,0.0,,4.02,13.8,112.0,0.0,4.02,7.22,18.2,243.0,6.55,,,
