# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: OMTC1
# STATION NAME: OAK MOUNTAIN
# LATITUDE: 41.006331
# LONGITUDE: -121.984431
# ELEVATION [ft]: 2646
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
OMTC1,2017-01-01T00:26:00Z,7.78,44.0,0.45,318.0,1.34,13.1,64.0,1085.85,1.34,6.11,9.4,17.0,-3.83,,NW,
OMTC1,2017-01-01T01:26:00Z,6.11,49.0,0.45,6.0,2.23,13.0,4.0,1085.85,2.23,3.89,10.3,345.0,-3.91,,N,
OMTC1,2017-01-01T02:26:00Z,5.0,53.0,0.9,357.0,2.68,12.9,0.0,1085.85,2.68,2.78,10.6,342.0,-3.89,,N,
OMTC1,2017-01-01T03:26:00Z,5.0,53.0,0.9,342.0,2.68,12.9,0.0,1085.85,2.68,2.22,11.0,316.0,-3.89,,NNW,
OMTC1,2017-01-01T04:26:00Z,3.33,61.0,0.0,,1.34,12.9,0.0,1085.85,1.34,1.11,11.3,46.0,-3.56,,,
OMTC1,2017-01-01T05:26:00Z,2.78,62.0,1.34,336.0,2.23,12.9,0.0,1085.85,2.23,0.0,12.0,335.0,-3.86,,NNW,
OMTC1,2017-01-01T06:26:00Z,2.78,63.0,0.9,355.0,2.23,12.9,0.0,1085.85,2.23,0.56,12.8,345.0,-3.65,,N,
OMTC1,2017-01-01T07:26:00Z,1.67,68.0,0.0,,1.79,12.8,0.0,1085.85,1.79,-0.56,13.2,335.0,-3.67,,,
OMTC1,2017-01-01T08:26:00Z,0.0,77.0,0.45,341.0,1.34,12.8,0.0,1085.85,1.34,-1.67,14.2,335.0,-3.6,,NNW,
OMTC1,2017-01-01T09:26:00Z,0.0,79.0,0.0,,2.68,12.8,0.0,1085.85,2.68,-2.22,15.7,343.0,-3.25,,,
OMTC1,2017-01-01T10:26:00Z,1.67,94.0,1.34,221.0,3.13,12.7,0.0,1085.85,3.13,1.67,15.9,317.0,0.8,,SW,
OMTC1,2017-01-01T11:26:00Z,-0.56,90.0,0.45,352.0,1.79,12.7,0.0,1085.85,1.79,0.0,17.7,200.0,-2.02,,N,
OMTC1,2017-01-01T12:26:00Z,1.11,97.0,1.79,180.0,3.58,12.7,0.0,1085.85,3.58,1.11,20.5,193.0,0.68,,S,
OMTC1,2017-01-01T13:26:00Z,1.67,97.0,1.79,182.0,4.92,12.7,0.0,1086.104,4.92,1.67,23.4,183.0,1.24,,S,
OMTC1,2017-01-01T14:26:00Z,1.11,94.0,0.9,231.0,6.26,12.7,0.0,1086.104,6.26,0.56,24.6,204.0,0.24,,SW,
OMTC1,2017-01-01T15:26:00Z,1.67,93.0,2.23,272.0,5.81,12.7,0.0,1086.104,5.81,1.67,25.3,239.0,0.65,,W,
OMTC1,2017-01-01T16:26:00Z,1.67,95.0,2.68,219.0,8.05,12.7,3.0,1086.612,8.05,1.11,26.0,188.0,0.94,,SW,
OMTC1,2017-01-01T17:26:00Z,1.67,89.0,3.13,214.0,8.05,12.9,37.0,1087.628,8.05,1.67,27.2,226.0,0.03,,SW,
OMTC1,2017-01-01T18:26:00Z,1.67,86.0,1.79,248.0,6.7,13.2,98.0,1088.39,6.7,2.22,26.1,187.0,-0.45,,WSW,
OMTC1,2017-01-01T19:26:00Z,2.22,90.0,3.13,167.0,6.26,13.7,216.0,1088.39,6.26,3.89,27.0,198.0,0.73,,SSE,
OMTC1,2017-01-01T20:26:00Z,1.11,87.0,4.47,193.0,7.15,13.3,206.0,1088.39,7.15,2.22,27.1,184.0,-0.84,,SSW,
