# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: OZNC1
# STATION NAME: OZENA
# LATITUDE: 34.681781
# LONGITUDE: -119.353733
# ELEVATION [ft]: 3690
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
OZNC1,2017-01-01T00:22:00Z,0.0,100.0,0.0,,6.7,13.0,14.0,119.126,6.7,0.0,27.0,272.0,0.0,,,
OZNC1,2017-01-01T01:22:00Z,0.0,100.0,0.0,,0.0,12.9,4.0,119.126,0.0,0.0,27.2,0.0,0.0,,,
OZNC1,2017-01-01T02:22:00Z,0.0,100.0,0.0,,0.0,12.9,0.0,119.126,0.0,0.0,27.2,0.0,0.0,,,
OZNC1,2017-01-01T03:22:00Z,0.0,100.0,0.0,,0.0,12.8,0.0,119.126,0.0,0.0,27.2,0.0,0.0,,,
OZNC1,2017-01-01T04:22:00Z,0.0,100.0,0.0,,0.0,12.8,0.0,119.126,0.0,0.0,27.3,0.0,0.0,,,
OZNC1,2017-01-01T05:22:00Z,0.0,100.0,1.34,147.0,3.13,12.7,0.0,119.126,3.13,0.0,27.2,173.0,0.0,,SSE,
OZNC1,2017-01-01T06:22:00Z,-1.11,100.0,1.79,252.0,2.68,12.7,0.0,119.126,2.68,0.0,27.2,272.0,-1.11,,WSW,
OZNC1,2017-01-01T07:22:00Z,-1.11,100.0,0.0,,1.79,12.6,0.0,119.126,1.79,-0.56,27.3,232.0,-1.11,,,
OZNC1,2017-01-01T08:22:00Z,-1.11,100.0,0.0,,0.0,12.7,0.0,119.126,0.0,-0.56,27.3,0.0,-1.11,,,
OZNC1,2017-01-01T09:22:00Z,-1.11,100.0,0.0,,0.0,12.6,0.0,119.126,0.0,-0.56,27.2,0.0,-1.11,,,
OZNC1,2017-01-01T10:22:00Z,-1.11,100.0,0.0,,1.79,12.6,0.0,119.126,1.79,-0.56,27.2,36.0,-1.11,,,
OZNC1,2017-01-01T11:22:00Z,-1.67,100.0,0.0,,2.23,12.6,0.0,119.126,2.23,-1.67,27.1,243.0,-1.67,,,
