# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: PEPC1
# STATION NAME: PEPPERMINT
# LATITUDE: 36.073397
# LONGITUDE: -118.541364
# ELEVATION [ft]: 7385
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
PEPC1,2017-01-01T00:58:00Z,-1.11,98.0,0.45,182.0,4.02,13.5,4.0,298.958,4.02,0.0,27.3,144.0,-1.39,,S,
PEPC1,2017-01-01T01:58:00Z,-1.67,97.0,0.9,297.0,1.79,13.4,0.0,298.958,1.79,-1.11,27.3,302.0,-2.09,,WNW,
PEPC1,2017-01-01T02:58:00Z,-2.22,95.0,1.34,294.0,2.68,13.2,0.0,298.958,2.68,-3.33,27.5,257.0,-2.92,,WNW,
PEPC1,2017-01-01T03:58:00Z,-1.67,96.0,0.45,286.0,1.79,13.2,0.0,298.958,1.79,-2.22,27.4,301.0,-2.23,,WNW,
PEPC1,2017-01-01T04:58:00Z,-1.67,91.0,1.34,302.0,2.23,13.1,0.0,298.958,2.23,-2.78,27.4,148.0,-2.96,,WNW,
PEPC1,2017-01-01T05:58:00Z,-2.78,92.0,1.34,290.0,1.79,13.0,0.0,298.958,1.79,-5.56,27.6,293.0,-3.92,,WNW,
PEPC1,2017-01-01T06:58:00Z,-3.33,92.0,0.9,311.0,1.79,13.0,0.0,298.958,1.79,-6.11,27.6,303.0,-4.46,,NW,
PEPC1,2017-01-01T07:58:00Z,-3.89,92.0,0.9,292.0,1.79,12.9,0.0,298.958,1.79,-6.67,27.7,295.0,-5.01,,WNW,
PEPC1,2017-01-01T08:58:00Z,-4.44,91.0,0.9,293.0,1.34,12.9,0.0,298.958,1.34,-7.78,27.7,295.0,-5.71,,WNW,
PEPC1,2017-01-01T09:58:00Z,-4.44,92.0,0.9,295.0,1.34,12.9,0.0,298.958,1.34,-7.78,27.8,276.0,-5.56,,WNW,
PEPC1,2017-01-01T10:58:00Z,-4.44,91.0,0.45,302.0,1.79,12.9,0.0,298.958,1.79,-7.78,27.8,270.0,-5.71,,WNW,
PEPC1,2017-01-01T11:58:00Z,-4.44,92.0,0.45,324.0,1.79,12.9,0.0,298.958,1.79,-7.22,27.7,274.0,-5.56,,NW,
PEPC1,2017-01-01T12:58:00Z,-6.11,93.0,0.9,343.0,1.79,12.9,0.0,298.958,1.79,-8.33,27.8,353.0,-7.07,,NNW,
PEPC1,2017-01-01T13:58:00Z,-6.11,94.0,0.45,316.0,1.79,12.8,0.0,298.958,1.79,-8.89,27.8,346.0,-6.93,,NW,
PEPC1,2017-01-01T14:58:00Z,-5.0,93.0,0.45,140.0,2.68,12.8,0.0,298.958,2.68,-7.78,27.8,278.0,-5.97,,SE,
PEPC1,2017-01-01T15:58:00Z,0.56,57.0,0.9,257.0,5.37,13.0,51.0,298.958,5.37,-1.11,27.3,356.0,-7.07,,WSW,
PEPC1,2017-01-01T16:58:00Z,2.78,56.0,1.34,112.0,6.26,13.6,213.0,299.72,6.26,2.78,26.3,343.0,-5.23,,ESE,
PEPC1,2017-01-01T17:58:00Z,5.0,44.0,0.9,313.0,4.92,14.0,390.0,300.228,4.92,5.0,24.3,139.0,-6.36,,NW,
PEPC1,2017-01-01T18:58:00Z,6.11,34.0,1.79,310.0,5.37,14.3,531.0,300.482,5.37,5.0,23.3,330.0,-8.71,,NW,
PEPC1,2017-01-01T19:58:00Z,7.22,29.0,1.79,319.0,5.81,14.0,609.0,300.482,5.81,6.11,24.0,290.0,-9.77,,NW,
PEPC1,2017-01-01T20:58:00Z,4.44,40.0,1.34,266.0,7.15,13.9,557.0,300.482,7.15,1.67,24.0,8.0,-8.11,,W,
