# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: PIHC1
# STATION NAME: PINE HILLS
# LATITUDE: 33.016656
# LONGITUDE: -116.635442
# ELEVATION [ft]: 3651
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
PIHC1,2017-01-01T00:04:00Z,6.67,99.0,2.23,214.0,6.26,13.2,17.0,336.296,6.26,6.67,26.8,239.0,6.52,,SW,
PIHC1,2017-01-01T01:04:00Z,6.67,99.0,1.34,170.0,4.92,13.1,7.0,336.296,4.92,6.67,26.8,260.0,6.52,,S,
PIHC1,2017-01-01T02:04:00Z,6.67,100.0,1.79,171.0,5.37,13.0,0.0,338.582,5.37,6.67,26.8,179.0,6.67,,S,
PIHC1,2017-01-01T03:04:00Z,6.11,100.0,1.79,214.0,6.7,13.0,0.0,345.694,6.7,6.11,26.9,263.0,6.11,,SW,
PIHC1,2017-01-01T04:04:00Z,5.56,100.0,1.34,226.0,7.6,12.9,0.0,352.044,7.6,5.56,26.9,222.0,5.56,,SW,
PIHC1,2017-01-01T05:04:00Z,5.0,100.0,1.79,246.0,6.26,12.9,0.0,356.616,6.26,5.0,26.9,316.0,5.0,,WSW,
PIHC1,2017-01-01T06:04:00Z,4.44,100.0,2.23,265.0,6.7,12.9,0.0,360.934,6.7,4.44,27.0,336.0,4.44,,W,
PIHC1,2017-01-01T07:04:00Z,2.22,100.0,3.13,271.0,9.39,12.9,0.0,368.808,9.39,1.67,27.2,288.0,2.22,,W,
PIHC1,2017-01-01T08:04:00Z,1.11,100.0,0.9,321.0,6.7,12.8,0.0,372.364,6.7,0.56,27.2,310.0,1.11,,NW,
PIHC1,2017-01-01T09:04:00Z,0.56,100.0,0.0,,1.79,12.8,0.0,372.364,1.79,0.0,27.2,239.0,0.56,,,
PIHC1,2017-01-01T10:04:00Z,1.67,100.0,1.79,224.0,4.47,12.8,0.0,373.634,4.47,1.11,27.2,186.0,1.67,,SW,
PIHC1,2017-01-01T11:04:00Z,1.67,100.0,1.34,286.0,5.81,12.8,0.0,375.158,5.81,1.67,27.1,317.0,1.67,,WNW,
PIHC1,2017-01-01T12:04:00Z,1.67,100.0,1.34,265.0,6.26,12.8,0.0,375.412,6.26,1.67,27.2,315.0,1.67,,W,
PIHC1,2017-01-01T13:04:00Z,1.67,100.0,1.79,298.0,4.92,12.8,0.0,375.412,4.92,1.67,27.2,235.0,1.67,,WNW,
PIHC1,2017-01-01T14:04:00Z,1.67,100.0,1.79,236.0,5.37,12.8,0.0,375.412,5.37,1.67,27.1,238.0,1.67,,SW,
PIHC1,2017-01-01T15:04:00Z,1.67,100.0,1.79,221.0,4.47,12.8,1.0,375.412,4.47,1.67,27.1,297.0,1.67,,SW,
PIHC1,2017-01-01T16:04:00Z,2.22,100.0,0.9,184.0,3.58,12.9,29.0,375.412,3.58,2.22,27.1,159.0,2.22,,S,
PIHC1,2017-01-01T17:04:00Z,3.33,89.0,1.34,200.0,4.02,14.0,153.0,375.412,4.02,4.44,27.0,208.0,1.67,,SSW,
PIHC1,2017-01-01T18:04:00Z,5.56,77.0,1.79,208.0,3.13,13.9,419.0,375.412,3.13,9.44,25.8,198.0,1.8,,SSW,
PIHC1,2017-01-01T19:04:00Z,6.11,77.0,1.79,204.0,4.02,13.9,435.0,375.412,4.02,10.56,25.7,229.0,2.33,,SSW,
PIHC1,2017-01-01T20:04:00Z,7.22,73.0,2.23,236.0,5.37,13.9,546.0,375.412,5.37,11.67,24.9,225.0,2.65,,SW,
PIHC1,2017-01-01T21:04:00Z,6.11,84.0,2.23,236.0,6.7,14.5,437.0,375.412,6.7,8.33,26.6,240.0,3.58,,SW,
PIHC1,2017-01-01T22:04:00Z,5.0,85.0,2.68,246.0,6.7,14.3,155.0,375.412,6.7,5.56,26.9,212.0,2.66,,WSW,
