# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: RDVC1
# STATION NAME: RODEO VALLEY
# LATITUDE: 39.667958
# LONGITUDE: -123.321292
# ELEVATION [ft]: 2428
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
RDVC1,2017-01-01T00:28:00Z,9.44,59.0,1.79,343.0,5.37,13.6,36.0,708.914,5.37,8.89,10.0,2.0,1.75,,NNW,
RDVC1,2017-01-01T01:28:00Z,6.67,78.0,1.79,97.0,2.23,13.3,7.0,708.914,2.23,4.44,10.2,112.0,3.06,,E,
RDVC1,2017-01-01T02:28:00Z,5.0,80.0,1.79,87.0,2.23,13.1,0.0,708.914,2.23,2.78,11.0,94.0,1.8,,E,
RDVC1,2017-01-01T03:28:00Z,4.44,80.0,0.9,50.0,2.23,13.0,0.0,708.914,2.23,2.78,12.3,94.0,1.25,,NE,
RDVC1,2017-01-01T04:28:00Z,4.44,79.0,1.34,27.0,2.23,12.8,0.0,708.914,2.23,2.22,14.1,61.0,1.07,,NNE,
RDVC1,2017-01-01T05:28:00Z,3.33,87.0,0.9,57.0,4.02,12.7,0.0,708.914,4.02,1.11,15.2,326.0,1.35,,ENE,
RDVC1,2017-01-01T06:28:00Z,2.22,90.0,0.9,78.0,3.13,12.7,0.0,708.914,3.13,0.56,16.1,13.0,0.73,,ENE,
RDVC1,2017-01-01T07:28:00Z,2.78,94.0,2.23,345.0,4.92,12.6,0.0,708.914,4.92,1.11,18.2,356.0,1.9,,NNW,
RDVC1,2017-01-01T08:28:00Z,2.22,97.0,2.68,322.0,5.81,12.6,0.0,708.914,5.81,2.22,20.0,346.0,1.79,,NW,
RDVC1,2017-01-01T09:28:00Z,2.22,96.0,3.13,327.0,5.81,12.6,0.0,708.914,5.81,2.22,21.3,311.0,1.64,,NNW,
RDVC1,2017-01-01T10:28:00Z,1.67,95.0,2.23,314.0,5.37,12.6,0.0,708.914,5.37,1.11,21.5,319.0,0.94,,NW,
RDVC1,2017-01-01T11:28:00Z,1.67,94.0,2.68,334.0,6.7,12.6,0.0,708.914,6.7,1.67,22.9,315.0,0.8,,NNW,
RDVC1,2017-01-01T12:28:00Z,1.67,89.0,4.02,330.0,7.6,12.6,0.0,708.914,7.6,1.11,22.4,325.0,0.03,,NNW,
RDVC1,2017-01-01T13:28:00Z,0.56,89.0,3.13,332.0,6.7,12.5,0.0,708.914,6.7,-0.56,22.4,23.0,-1.07,,NNW,
RDVC1,2017-01-01T14:28:00Z,0.0,88.0,3.13,333.0,6.26,12.5,0.0,708.914,6.26,-1.67,23.5,21.0,-1.78,,NNW,
RDVC1,2017-01-01T15:28:00Z,0.0,85.0,2.23,7.0,5.81,12.5,0.0,708.914,5.81,-1.67,23.9,331.0,-2.25,,N,
RDVC1,2017-01-01T16:28:00Z,0.0,82.0,3.13,341.0,8.05,12.6,12.0,708.914,8.05,-1.11,23.3,23.0,-2.74,,NNW,
RDVC1,2017-01-01T17:28:00Z,2.78,69.0,4.47,5.0,8.94,14.7,160.0,708.914,8.94,3.33,21.5,1.0,-2.41,,N,
RDVC1,2017-01-01T18:28:00Z,4.44,67.0,2.68,320.0,7.15,14.8,303.0,708.914,7.15,7.78,16.6,23.0,-1.22,,NW,
RDVC1,2017-01-01T19:28:00Z,3.89,66.0,3.13,323.0,8.94,14.1,296.0,708.914,8.94,6.11,14.8,320.0,-1.96,,NW,
RDVC1,2017-01-01T20:28:00Z,4.44,65.0,3.13,334.0,7.15,14.3,249.0,708.914,7.15,7.78,12.9,337.0,-1.64,,NNW,
RDVC1,2017-01-01T21:28:00Z,3.89,70.0,1.79,303.0,4.47,14.0,137.0,708.914,4.47,5.56,12.7,308.0,-1.15,,WNW,
RDVC1,2017-01-01T22:28:00Z,4.44,74.0,1.79,210.0,4.02,14.0,177.0,708.914,4.02,6.67,13.6,320.0,0.16,,SSW,
RDVC1,2017-01-01T23:28:00Z,2.78,87.0,1.79,311.0,5.81,14.1,204.0,708.914,5.81,4.44,12.2,324.0,0.8,,NW,
RDVC1,2017-01-02T00:28:00Z,0.56,93.0,1.79,317.0,3.58,13.7,56.0,708.914,3.58,0.56,15.6,334.0,-0.46,,NW,
RDVC1,2017-01-02T01:28:00Z,0.56,93.0,0.9,328.0,3.13,13.5,14.0,709.168,3.13,0.56,18.4,6.0,-0.46,,NNW,
RDVC1,2017-01-02T02:28:00Z,1.11,92.0,2.68,176.0,4.02,13.3,0.0,709.422,4.02,0.56,20.8,157.0,-0.06,,S,
RDVC1,2017-01-02T03:28:00Z,0.56,92.0,1.34,325.0,4.47,13.1,0.0,709.422,4.47,0.0,22.4,182.0,-0.61,,NW,
RDVC1,2017-01-02T04:28:00Z,0.0,94.0,1.79,293.0,4.02,13.0,0.0,709.422,4.02,0.0,23.6,248.0,-0.86,,WNW,
RDVC1,2017-01-02T05:28:00Z,-0.56,94.0,1.34,144.0,2.68,12.8,0.0,709.422,2.68,-1.67,23.8,140.0,-1.42,,SE,
RDVC1,2017-01-02T06:28:00Z,-0.56,93.0,1.79,133.0,2.68,12.7,0.0,709.422,2.68,-1.67,25.0,140.0,-1.57,,SE,
RDVC1,2017-01-02T07:28:00Z,-0.56,94.0,1.34,141.0,2.68,12.7,0.0,709.422,2.68,-1.11,24.9,147.0,-1.42,,SE,
RDVC1,2017-01-02T08:28:00Z,-0.56,94.0,0.45,103.0,3.13,12.6,0.0,709.422,3.13,-0.56,25.2,164.0,-1.42,,ESE,
RDVC1,2017-01-02T09:28:00Z,-0.56,95.0,2.23,137.0,3.13,12.6,0.0,709.422,3.13,-1.11,25.2,118.0,-1.27,,SE,
RDVC1,2017-01-02T10:28:00Z,-1.11,94.0,1.79,156.0,2.68,12.6,0.0,709.422,2.68,-1.67,24.9,148.0,-1.97,,SSE,
RDVC1,2017-01-02T11:28:00Z,-0.56,93.0,4.02,170.0,4.92,12.6,0.0,709.422,4.92,-1.11,25.8,156.0,-1.57,,S,
RDVC1,2017-01-02T12:28:00Z,-1.11,93.0,4.02,183.0,6.7,12.6,0.0,709.422,6.7,-1.11,25.6,146.0,-2.11,,S,
RDVC1,2017-01-02T13:28:00Z,-1.67,93.0,3.13,167.0,4.47,12.6,0.0,709.422,4.47,-2.22,25.3,162.0,-2.67,,SSE,
RDVC1,2017-01-02T14:28:00Z,-1.11,93.0,3.58,170.0,5.37,12.5,0.0,709.422,5.37,-1.67,25.8,188.0,-2.11,,S,
RDVC1,2017-01-02T15:28:00Z,-1.11,93.0,3.58,181.0,4.92,12.5,0.0,709.422,4.92,-1.11,25.9,180.0,-2.11,,S,
