# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: SLRC1
# STATION NAME: LOS BANOS
# LATITUDE: 37.054800
# LONGITUDE: -121.053094
# ELEVATION [ft]: 323
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
SLRC1,2017-01-01T00:02:00Z,11.11,62.0,1.79,147.0,3.13,14.4,189.0,92.964,3.13,14.44,11.0,50.0,4.03,,SSE,
SLRC1,2017-01-01T01:02:00Z,6.67,78.0,1.79,80.0,3.13,13.6,47.0,92.964,3.13,5.0,10.9,91.0,3.06,,E,
SLRC1,2017-01-01T02:02:00Z,6.11,80.0,1.34,218.0,1.79,13.4,0.0,92.964,1.79,2.22,12.1,243.0,2.88,,SW,
SLRC1,2017-01-01T03:02:00Z,5.56,78.0,0.45,161.0,2.23,13.2,0.0,92.964,2.23,1.67,14.9,200.0,1.98,,SSE,
SLRC1,2017-01-01T04:02:00Z,5.56,84.0,3.13,186.0,4.47,13.1,0.0,92.964,4.47,2.78,17.4,162.0,3.04,,S,
SLRC1,2017-01-01T05:02:00Z,5.0,90.0,1.79,161.0,3.13,13.1,0.0,92.964,3.13,1.11,19.2,184.0,3.48,,SSE,
SLRC1,2017-01-01T06:02:00Z,5.56,87.0,2.23,175.0,3.58,13.0,0.0,92.964,3.58,2.22,20.5,178.0,3.54,,S,
SLRC1,2017-01-01T07:02:00Z,5.0,78.0,2.23,146.0,3.58,13.0,0.0,92.964,3.58,1.67,21.5,161.0,1.44,,SE,
SLRC1,2017-01-01T08:02:00Z,5.56,85.0,1.34,179.0,2.68,13.0,0.0,92.964,2.68,1.67,21.5,237.0,3.21,,S,
SLRC1,2017-01-01T09:02:00Z,5.0,82.0,2.23,193.0,3.13,13.0,0.0,92.964,3.13,1.11,23.7,178.0,2.15,,SSW,
SLRC1,2017-01-01T10:02:00Z,7.78,72.0,3.13,260.0,8.05,12.9,0.0,92.964,8.05,4.44,23.5,254.0,2.99,,W,
SLRC1,2017-01-01T11:02:00Z,6.11,77.0,2.68,102.0,4.92,12.9,0.0,92.964,4.92,2.78,22.5,200.0,2.33,,ESE,
SLRC1,2017-01-01T12:02:00Z,3.89,86.0,2.23,168.0,4.02,12.9,0.0,92.964,4.02,1.11,24.2,105.0,1.73,,SSE,
SLRC1,2017-01-01T13:02:00Z,3.89,87.0,1.79,251.0,4.92,12.9,0.0,92.964,4.92,1.67,24.2,201.0,1.9,,WSW,
SLRC1,2017-01-01T14:02:00Z,5.0,90.0,3.58,171.0,4.02,12.8,0.0,92.964,4.02,2.22,25.3,169.0,3.48,,S,
SLRC1,2017-01-01T15:02:00Z,4.44,84.0,2.23,255.0,4.47,12.8,0.0,92.964,4.47,1.67,23.7,177.0,1.94,,WSW,
SLRC1,2017-01-01T16:02:00Z,6.67,87.0,1.34,211.0,4.02,12.9,32.0,92.964,4.02,5.0,25.7,158.0,4.63,,SSW,
SLRC1,2017-01-01T17:02:00Z,7.78,83.0,1.79,56.0,4.92,13.7,119.0,92.964,4.92,8.33,24.9,302.0,5.04,,NE,
SLRC1,2017-01-01T18:02:00Z,9.44,76.0,3.13,277.0,5.81,14.4,161.0,92.964,5.81,10.56,24.3,233.0,5.38,,W,
SLRC1,2017-01-01T19:02:00Z,10.56,72.0,1.79,301.0,4.92,14.1,251.0,92.964,4.92,13.89,17.2,229.0,5.67,,WNW,
SLRC1,2017-01-01T20:02:00Z,11.11,60.0,6.26,247.0,8.94,15.0,272.0,92.964,8.94,14.44,13.9,244.0,3.56,,WSW,
SLRC1,2017-01-01T21:02:00Z,12.22,60.0,5.37,237.0,9.84,14.7,337.0,92.964,9.84,15.56,13.3,239.0,4.61,,WSW,
SLRC1,2017-01-01T22:02:00Z,11.67,58.0,6.7,240.0,10.28,14.1,319.0,92.964,10.28,15.56,11.8,232.0,3.61,,WSW,
SLRC1,2017-01-01T23:02:00Z,11.67,55.0,6.26,242.0,8.94,14.1,283.0,92.964,8.94,14.44,10.9,239.0,2.85,,WSW,
SLRC1,2017-01-02T00:02:00Z,11.11,58.0,5.81,231.0,8.49,14.5,176.0,92.964,8.49,11.67,10.5,244.0,3.08,,SW,
SLRC1,2017-01-02T01:02:00Z,8.33,65.0,4.47,235.0,7.15,13.5,34.0,92.964,7.15,7.22,10.9,234.0,2.07,,SW,
SLRC1,2017-01-02T02:02:00Z,7.78,66.0,4.92,214.0,7.6,13.3,0.0,92.964,7.6,6.67,11.4,229.0,1.76,,SW,
SLRC1,2017-01-02T03:02:00Z,8.33,67.0,5.37,228.0,7.15,13.2,0.0,92.964,7.15,6.11,12.9,226.0,2.5,,SW,
SLRC1,2017-01-02T04:02:00Z,7.78,65.0,5.81,235.0,9.39,13.1,0.0,92.964,9.39,6.11,13.5,235.0,1.54,,SW,
