# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: TRMC1
# STATION NAME: TRIMMER
# LATITUDE: 36.911050
# LONGITUDE: -119.306592
# ELEVATION [ft]: 1487
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Celsius,%,m/s,Degrees,m/s,volts,W/m**2,Millimeters,m/s,Celsius,gm,Degrees,Celsius,Celsius,code,Celsius
TRMC1,2017-01-01T00:52:00Z,5.56,100.0,1.34,335.0,4.47,13.3,4.0,246.634,4.47,5.56,24.5,307.0,5.56,,NNW,
TRMC1,2017-01-01T01:52:00Z,5.56,100.0,1.34,59.0,2.68,13.2,0.0,247.396,2.68,5.56,26.9,323.0,5.56,,ENE,
TRMC1,2017-01-01T02:52:00Z,5.0,100.0,1.34,127.0,2.68,13.1,0.0,247.904,2.68,5.0,26.9,79.0,5.0,,SE,
TRMC1,2017-01-01T03:52:00Z,5.0,100.0,0.45,175.0,2.23,13.0,0.0,248.158,2.23,5.0,26.9,113.0,5.0,,S,
TRMC1,2017-01-01T04:52:00Z,5.0,100.0,0.9,125.0,0.9,13.0,0.0,248.158,0.9,5.0,26.9,127.0,5.0,,SE,
TRMC1,2017-01-01T05:52:00Z,5.0,100.0,0.45,239.0,0.9,12.9,0.0,248.158,0.9,5.56,26.9,178.0,5.0,,WSW,
TRMC1,2017-01-01T06:52:00Z,5.0,100.0,1.79,238.0,2.68,12.9,0.0,248.666,2.68,5.0,27.0,236.0,5.0,,WSW,
TRMC1,2017-01-01T07:52:00Z,4.44,100.0,0.9,327.0,2.68,12.9,0.0,249.174,2.68,4.44,27.0,7.0,4.44,,NNW,
TRMC1,2017-01-01T08:52:00Z,4.44,100.0,1.79,129.0,2.68,12.9,0.0,249.174,2.68,4.44,27.0,130.0,4.44,,SE,
TRMC1,2017-01-01T09:52:00Z,4.44,100.0,0.9,296.0,2.23,12.9,0.0,249.174,2.23,4.44,27.0,136.0,4.44,,WNW,
TRMC1,2017-01-01T10:52:00Z,4.44,100.0,0.9,3.0,1.79,12.9,0.0,249.174,1.79,4.44,27.0,337.0,4.44,,N,
TRMC1,2017-01-01T11:52:00Z,4.44,100.0,0.9,135.0,1.79,12.9,0.0,249.428,1.79,4.44,27.0,6.0,4.44,,SE,
TRMC1,2017-01-01T12:52:00Z,4.44,100.0,0.45,22.0,2.23,12.9,0.0,249.428,2.23,4.44,27.0,118.0,4.44,,NNE,
TRMC1,2017-01-01T13:52:00Z,4.44,100.0,0.45,150.0,2.23,12.9,0.0,249.428,2.23,4.44,27.0,117.0,4.44,,SSE,
TRMC1,2017-01-01T14:52:00Z,4.44,100.0,0.9,192.0,1.34,12.9,0.0,249.428,1.34,4.44,27.0,177.0,4.44,,SSW,
TRMC1,2017-01-01T15:52:00Z,4.44,100.0,0.45,272.0,1.34,12.9,10.0,249.428,1.34,4.44,27.0,273.0,4.44,,W,
TRMC1,2017-01-01T16:52:00Z,5.0,100.0,0.9,77.0,1.79,13.0,50.0,249.428,1.79,5.56,26.9,117.0,5.0,,ENE,
TRMC1,2017-01-01T17:52:00Z,5.0,100.0,0.9,131.0,1.79,13.1,45.0,249.428,1.79,6.11,26.9,100.0,5.0,,SE,
TRMC1,2017-01-01T18:52:00Z,6.67,96.0,1.34,124.0,1.79,13.9,153.0,249.428,1.79,8.33,26.7,138.0,6.07,,SE,
TRMC1,2017-01-01T19:52:00Z,7.22,87.0,0.9,307.0,2.68,13.9,190.0,249.428,2.68,8.89,26.7,288.0,5.18,,NW,
TRMC1,2017-01-01T20:52:00Z,6.67,88.0,2.23,305.0,3.13,13.8,103.0,249.428,3.13,6.67,26.8,295.0,4.8,,NW,
TRMC1,2017-01-01T21:52:00Z,6.11,93.0,1.34,95.0,2.68,13.6,61.0,249.428,2.68,6.67,26.8,357.0,5.05,,E,
TRMC1,2017-01-01T22:52:00Z,6.67,93.0,1.34,121.0,1.79,13.6,50.0,249.428,1.79,6.67,26.8,50.0,5.6,,ESE,
TRMC1,2017-01-01T23:52:00Z,6.67,92.0,0.9,350.0,1.79,13.5,54.0,249.428,1.79,6.67,26.8,323.0,5.45,,N,
TRMC1,2017-01-02T00:52:00Z,6.11,93.0,0.45,264.0,1.79,13.3,13.0,249.428,1.79,5.56,26.9,157.0,5.05,,W,
TRMC1,2017-01-02T01:52:00Z,5.56,96.0,0.9,321.0,1.79,13.2,0.0,249.428,1.79,5.56,26.9,333.0,4.96,,NW,
TRMC1,2017-01-02T02:52:00Z,5.56,98.0,0.9,22.0,1.79,13.1,0.0,249.428,1.79,5.0,26.9,54.0,5.26,,NNE,
TRMC1,2017-01-02T03:52:00Z,5.56,99.0,0.45,286.0,1.34,13.1,0.0,249.428,1.34,5.0,26.9,245.0,5.41,,WNW,
TRMC1,2017-01-02T04:52:00Z,6.11,94.0,2.23,307.0,3.13,13.0,0.0,249.428,3.13,5.56,26.9,302.0,5.2,,NW,
TRMC1,2017-01-02T05:52:00Z,6.11,92.0,1.79,294.0,3.13,13.0,0.0,249.428,3.13,5.56,26.9,294.0,4.89,,WNW,
TRMC1,2017-01-02T06:52:00Z,5.56,97.0,0.9,164.0,2.23,12.9,0.0,249.428,2.23,5.0,27.0,298.0,5.12,,SSE,
TRMC1,2017-01-02T07:52:00Z,5.0,100.0,0.45,286.0,1.34,12.9,0.0,249.428,1.34,4.44,27.0,191.0,5.0,,WNW,
TRMC1,2017-01-02T08:52:00Z,4.44,100.0,0.45,314.0,1.34,12.9,0.0,249.428,1.34,2.78,27.1,271.0,4.44,,NW,
TRMC1,2017-01-02T09:52:00Z,3.89,100.0,0.9,323.0,1.79,12.9,0.0,249.428,1.79,3.33,27.1,8.0,3.89,,NW,
TRMC1,2017-01-02T10:52:00Z,4.44,99.0,0.45,355.0,2.23,12.9,0.0,249.428,2.23,3.89,27.0,6.0,4.29,,N,
TRMC1,2017-01-02T11:52:00Z,4.44,100.0,0.45,284.0,0.9,12.9,0.0,249.428,0.9,3.89,27.0,11.0,4.44,,WNW,
TRMC1,2017-01-02T12:52:00Z,4.44,100.0,0.9,345.0,1.79,12.9,0.0,249.428,1.79,3.33,27.0,354.0,4.44,,NNW,
TRMC1,2017-01-02T13:52:00Z,3.89,100.0,0.0,,1.34,12.9,0.0,249.428,1.34,3.33,27.1,6.0,3.89,,,
TRMC1,2017-01-02T14:52:00Z,4.44,100.0,0.45,217.0,0.9,12.9,0.0,249.428,0.9,3.33,27.0,159.0,4.44,,SW,
TRMC1,2017-01-02T15:52:00Z,4.44,100.0,0.0,,0.9,12.9,3.0,249.428,0.9,3.89,27.0,281.0,4.44,,,
TRMC1,2017-01-02T16:52:00Z,5.0,100.0,0.45,35.0,1.34,13.0,42.0,249.428,1.34,5.56,26.9,53.0,5.0,,NE,
TRMC1,2017-01-02T17:52:00Z,6.67,96.0,0.45,114.0,1.34,13.2,102.0,249.428,1.34,7.22,26.8,44.0,6.07,,ESE,
TRMC1,2017-01-02T18:52:00Z,7.78,92.0,0.45,118.0,1.34,13.7,167.0,249.428,1.34,8.89,26.7,97.0,6.55,,ESE,
TRMC1,2017-01-02T19:52:00Z,8.89,76.0,2.23,132.0,4.02,14.9,270.0,249.428,4.02,11.67,26.0,109.0,4.84,,SE,
TRMC1,2017-01-02T20:52:00Z,8.89,67.0,1.79,172.0,4.02,14.2,215.0,249.428,4.02,8.89,26.7,111.0,3.03,,S,
TRMC1,2017-01-02T21:52:00Z,8.33,67.0,1.79,152.0,4.02,13.9,127.0,249.428,4.02,7.22,26.8,192.0,2.5,,SSE,
TRMC1,2017-01-02T22:52:00Z,7.78,68.0,1.34,104.0,2.68,13.7,73.0,249.428,2.68,7.22,26.8,185.0,2.18,,ESE,
TRMC1,2017-01-02T23:52:00Z,7.22,74.0,0.45,29.0,1.79,13.5,42.0,249.428,1.79,6.11,26.9,142.0,2.84,,NNE,
TRMC1,2017-01-03T00:52:00Z,5.56,86.0,0.45,298.0,1.34,13.4,18.0,249.428,1.34,4.44,27.0,261.0,3.37,,WNW,
TRMC1,2017-01-03T01:52:00Z,4.44,92.0,0.9,281.0,1.34,13.2,0.0,249.428,1.34,3.33,27.1,255.0,3.24,,W,
TRMC1,2017-01-03T02:52:00Z,3.33,94.0,0.9,287.0,1.79,13.2,0.0,249.428,1.79,1.11,27.2,272.0,2.44,,WNW,
TRMC1,2017-01-03T03:52:00Z,2.22,97.0,0.9,292.0,1.34,13.1,0.0,249.428,1.34,0.56,27.2,270.0,1.79,,WNW,
TRMC1,2017-01-03T04:52:00Z,1.67,98.0,0.45,273.0,1.79,13.1,0.0,249.428,1.79,0.0,27.3,285.0,1.38,,W,
